记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_10_22_16:30:33_017 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
1 2017_10_22_16:30:33_575 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
2 2017_10_22_16:30:34_359 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
3 2017_10_22_16:30:35_893 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
4 2017_10_22_16:30:35_984 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
5 2017_10_22_16:30:36_074 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
6 2017_10_22_16:30:36_164 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
7 2017_10_22_16:30:36_255 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
8 2017_10_22_16:30:36_345 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
9 2017_10_22_16:30:36_436 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
10 2017_10_22_16:30:36_530 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
11 2017_10_22_16:30:36_620 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
12 2017_10_22_16:30:36_710 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
13 2017_10_22_16:30:36_801 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
14 2017_10_22_16:30:36_891 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
15 2017_10_22_16:30:36_982 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
16 2017_10_22_16:30:37_071 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
17 2017_10_22_16:30:37_163 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
18 2017_10_22_16:30:37_253 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
19 2017_10_22_16:30:37_343 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
20 2017_10_22_16:30:37_435 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
