记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
--            --             -- 2 2.438 0.0 0.4465,0.4771 3362 2.54E-002 575.1 77.3 763.1 47.5 1.80 0.00 0.00
13 2017_10_23_11:09:56_947 255 0 1.835 0.2 0.3933,0.4390 3976 2.29E-002 571.2 53.0 761.1 63.8 1.75 0.01 4.95
--            --             -- 1 2.773 0.0 0.4443,0.4230 3028 6.34E-003 580.7 60.4 762.9 77.7 2.45 0.02 44.23
--            --             -- 2 2.437 0.0 0.4789,0.3805 2229 -1.17E-002 591.7 57.9 728.2 77.2 1.69 0.02 0.00
14 2017_10_23_11:09:57_060 8 0 1.834 0.4 0.4974,0.3459 1785 -2.11E-002 601.3 56.2 725.3 3.2 0.60 0.01 1.34
--            --             -- 1 2.777 0.0 0.3877,0.4499 4255 2.87E-002 569.3 51.5 730.9 1.8 0.74 0.00 6.65
--            --             -- 2 2.436 0.0 0.4600,0.3794 2449 -1.17E-002 590.4 51.9 728.4 80.5 2.49 0.02 0.00
15 2017_10_23_11:09:57_173 3 0 1.837 1.1 0.4435,0.4096 2870 2.12E-003 581.8 59.2 731.4 8.4 0.55 0.01 0.50
--            --             -- 1 2.773 1.5 0.5306,0.5156 2579 2.85E-002 579.0 100.0 750.0 -228.3 0.87 0.01 0.21
--            --             -- 2 2.434 0.6 0.0000,1.0000 8515 2.20E-001 521.1 100.0 724.1 非数字 0.00 0.00 0.00
16 2017_10_23_11:09:57_285 8 0 1.837 0.7 0.4513,0.3062 1912 -3.92E-002 767.1 30.9 763.6 非数字 -0.36 0.00 0.06
--            --             -- 1 2.773 0.9 1.0000,0.0000 4593 3.30E-001 768.0 100.0 752.5 非数字 0.00 0.00 0.00
--            --             -- 2 2.436 1.1 0.9622,0.0000 3509 4.97E-001 768.0 100.0 718.9 非数字 0.00 0.00 0.00
17 2017_10_23_11:09:57_407 255 0 1.836 0.2 -0.0063,0.9959 6565 2.46E-001 520.2 100.0 724.4 非数字 -0.43 0.00 0.00
--            --             -- 1 2.775 0.1 0.9619,0.0000 4285 3.60E-001 768.0 100.0 737.5 非数字 0.00 0.00 0.00
--            --             -- 2 2.438 0.3 0.8135,0.0000 1001 -6.56E-001 768.0 100.0 701.6 非数字 0.00 0.00 0.00
18 2017_10_23_11:09:57_519 255 0 1.837 0.2 0.7908,-0.0041 3008 6.99E-001 767.1 100.0 700.8 非数字 -0.43 0.00 0.00
--            --             -- 1 2.774 0.0 0.7691,0.0000 1001 -6.56E-001 768.0 100.0 761.1 非数字 0.00 0.00 0.00
--            --             -- 2 2.436 0.0 0.7840,0.0000 1001 -6.56E-001 768.0 100.0 762.1 非数字 0.00 0.00 0.00
19 2017_10_23_11:09:57_631 255 0 1.834 0.0 0.9238,-0.0041 3008 6.99E-001 767.1 100.0 690.3 非数字 -0.43 0.00 0.00
--            --             -- 1 2.778 0.2 1.0000,0.0000 6550 2.47E-001 768.0 100.0 725.9 非数字 0.00 0.00 0.00
--            --             -- 2 2.435 0.2 0.9047,0.0000 3770 4.36E-001 768.0 100.0 743.6 非数字 0.00 0.00 0.00
20 2017_10_23_11:09:57_758 255 0 1.835 1.5 0.9897,-0.0041 3374 5.37E-001 767.1 100.0 718.2 非数字 -0.43 0.00 0.00
--            --             -- 1 2.778 1.6 1.0000,0.0000 4683 3.23E-001 768.0 100.0 761.8 非数字 0.00 0.00 0.00
--            --             -- 2 2.435 0.9 0.9906,0.0000 3864 4.19E-001 768.0 100.0 716.9 非数字 0.00 0.00 0.00
21 2017_10_23_11:09:57_886 255 0 1.836 0.2 0.9937,-0.0041 5787 2.67E-001 767.1 100.0 728.0 非数字 -0.43 0.00 0.00
--            --             -- 1 2.776 0.2 0.7898,0.3163 1001 -1.58E-001 614.8 100.0 716.6 4.0 0.39 0.01 0.61
--            --             -- 2 2.438 0.2 0.4707,0.4504 2844 1.31E-002 580.0 76.6 731.3 19.4 0.94 0.01 1.93
22 2017_10_23_11:09:58_006 3 0 1.836 0.2 0.4409,0.4393 3131 1.35E-002 577.6 67.4 700.0 52.0 1.71 0.01 5.30
--            --             -- 1 2.776 0.0 0.4724,0.4320 2692 6.65E-003 582.3 71.5 761.4 90.2 4.19 0.02 150.99
