记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_10_22_16:27:34_758 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
1 2017_10_22_16:27:34_849 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
2 2017_10_22_16:27:34_939 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
3 2017_10_22_16:27:35_031 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
4 2017_10_22_16:27:35_122 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
5 2017_10_22_16:27:35_215 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
6 2017_10_22_16:27:35_318 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
7 2017_10_22_16:27:35_409 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
8 2017_10_22_16:27:35_498 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
9 2017_10_22_16:27:35_592 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
10 2017_10_22_16:27:35_685 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
11 2017_10_22_16:27:35_777 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
12 2017_10_22_16:27:35_868 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
13 2017_10_22_16:27:35_958 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
14 2017_10_22_16:27:36_049 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
15 2017_10_22_16:27:36_139 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
16 2017_10_22_16:27:36_229 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
17 2017_10_22_16:27:36_319 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
18 2017_10_22_16:27:36_409 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
19 2017_10_22_16:27:36_500 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
20 2017_10_22_16:27:36_591 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
21 2017_10_22_16:27:36_682 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
22 2017_10_22_16:27:36_775 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
23 2017_10_22_16:27:36_866 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
24 2017_10_22_16:27:36_955 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
25 2017_10_22_16:27:37_046 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
26 2017_10_22_16:27:37_137 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
27 2017_10_22_16:27:37_228 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
28 2017_10_22_16:27:37_320 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
29 2017_10_22_16:27:37_411 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
