记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_10_22_15:50:18_801 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
1 2017_10_22_15:50:19_555 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
2 2017_10_22_15:50:20_320 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
3 2017_10_22_15:50:21_440 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
4 2017_10_22_15:50:22_230 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
5 2017_10_22_15:50:23_283 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
6 2017_10_22_15:50:31_723 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
7 2017_10_22_15:50:32_575 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
8 2017_10_22_15:50:33_103 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
9 2017_10_22_15:50:33_526 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
10 2017_10_22_15:50:33_934 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
11 2017_10_22_15:50:34_350 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
12 2017_10_22_15:50:34_750 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
13 2017_10_22_15:50:35_258 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
14 2017_10_22_15:50:35_788 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
15 2017_10_22_15:50:36_228 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
