记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_06_15 10:08:25 590 10 0 9.232 0.6 0.5029,0.4396 2430 4.72E-003 585.4 76.9 762.0 92.6 26.53 0.21 4.39
1 2017_06_15 10:08:27 016 10 0 9.236 0.1 0.5030,0.4399 2431 4.84E-003 585.3 77.1 762.0 92.3 25.85 0.20 26.88
2 2017_06_15 10:08:28 160 10 0 9.230 0.0 0.5034,0.4399 2427 4.82E-003 585.4 77.2 761.9 92.1 25.87 0.20 269.17
3 2017_06_15 10:08:29 162 10 0 9.216 0.3 0.5031,0.4396 2428 4.72E-003 585.4 77.0 761.9 91.8 25.70 0.19 8.93
4 2017_06_15 10:08:29 182 10 0 9.227 0.3 0.5034,0.4389 2419 4.48E-003 585.5 76.9 761.8 92.1 25.71 0.19 9.22
5 2017_06_15 10:08:29 202 10 0 9.206 0.3 0.5035,0.4385 2416 4.36E-003 585.5 76.8 762.0 92.2 25.62 0.19 10.69
6 2017_06_15 10:08:29 222 10 0 9.221 0.3 0.5041,0.4387 2411 4.41E-003 585.6 77.0 762.0 92.1 25.50 0.19 10.21
7 2017_06_15 10:08:29 242 10 0 9.220 0.2 0.5038,0.4388 2415 4.46E-003 585.5 77.0 762.1 92.1 25.37 0.19 11.48
8 2017_06_15 10:08:29 261 10 0 9.221 0.2 0.5038,0.4390 2415 4.50E-003 585.5 77.0 762.1 92.0 25.36 0.19 12.00
9 2017_06_15 10:08:29 281 10 0 9.223 0.2 0.5039,0.4390 2415 4.50E-003 585.5 77.0 762.1 92.1 25.40 0.19 15.54
10 2017_06_15 10:08:29 304 10 0 9.193 0.2 0.5035,0.4394 2422 4.64E-003 585.4 77.1 762.0 92.1 25.27 0.19 13.88
11 2017_06_15 10:08:29 329 10 0 9.227 0.3 0.5035,0.4393 2421 4.60E-003 585.4 77.0 762.0 92.1 25.33 0.19 8.50
12 2017_06_15 10:08:29 353 10 0 9.238 0.4 0.5038,0.4389 2416 4.48E-003 585.5 77.0 762.1 92.1 25.36 0.19 5.99
13 2017_06_15 10:08:29 377 10 0 9.205 0.1 0.5039,0.4389 2415 4.48E-003 585.5 77.0 762.1 92.1 25.31 0.19 23.98
14 2017_06_15 10:08:29 437 10 0 9.221 0.1 0.5039,0.4388 2413 4.43E-003 585.5 77.0 762.1 92.2 25.38 0.19 29.35
15 2017_06_15 10:08:29 461 10 0 9.233 0.2 0.5039,0.4387 2414 4.43E-003 585.5 77.0 762.1 92.2 25.39 0.19 14.66
16 2017_06_15 10:08:29 485 10 0 9.227 0.2 0.5042,0.4387 2410 4.40E-003 585.6 77.0 762.1 92.1 25.26 0.19 11.42
17 2017_06_15 10:08:29 509 10 0 9.209 0.4 0.5042,0.4388 2411 4.44E-003 585.6 77.1 762.1 92.2 25.27 0.19 7.31
