记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_10_22_17:13:47_162 255 0 0.000 0.0 0.5037,0.3939 2045 -5.30E-003 589.4 72.5 687.0 89.5 1.31 0.01 0.00
--            --             -- 1 0.000 0.0 0.6533,0.2762 1001 -7.77E-002 768.0 79.5 761.3 -596.5 0.60 0.01 0.00
--            --             -- 2 0.000 0.0 0.5048,0.3736 1930 -1.33E-002 595.0 63.6 686.8 17.0 0.51 0.00 0.00
1 2017_10_22_17:13:48_237 11 0 0.000 0.0 0.5097,0.4309 2231 6.11E-003 584.5 85.5 760.7 -29.9 0.29 0.01 0.00
--            --             -- 1 0.000 0.0 0.0000,1.0000 6816 2.41E-001 521.1 100.0 735.3 非数字 0.00 0.00 0.00
--            --             -- 2 0.000 0.0 0.5000,0.3880 2069 -8.81E-003 591.5 66.5 763.7 74.1 0.85 0.00 0.00
2 2017_10_22_17:13:49_682 255 0 0.000 0.0 0.6279,0.0785 1001 -5.14E-001 767.6 95.9 724.5 非数字 -0.36 0.00 0.00
--            --             -- 1 0.000 0.0 0.6981,0.0000 1001 -6.56E-001 768.5 100.0 741.4 非数字 0.00 0.00 0.00
--            --             -- 2 0.000 0.0 0.4688,0.7473 4112 9.07E-002 565.9 100.0 738.0 非数字 0.00 0.00 0.00
3 2017_10_22_17:13:51_113 11 0 0.000 0.0 0.5651,0.4502 1901 1.33E-002 585.6 100.0 763.4 54.5 -0.01 0.01 0.00
--            --             -- 1 0.000 0.0 0.5714,0.2665 1001 -3.86E-002 768.0 60.4 764.0 -437.6 0.35 0.00 0.00
--            --             -- 2 0.000 0.0 0.8482,0.2110 1001 -4.37E-001 768.0 100.0 736.2 非数字 0.10 0.00 0.00
4 2017_10_22_17:13:52_252 255 0 0.000 0.0 0.5518,0.2936 1172 3.03E-002 657.3 56.7 730.0 42.4 0.07 0.00 0.00
--            --             -- 1 0.000 0.0 0.4946,0.2973 1518 4.06E-002 768.0 40.4 682.4 79.6 0.52 0.00 0.00
--            --             -- 2 0.000 0.0 0.5945,0.3784 1385 2.31E-003 597.9 92.0 689.3 66.5 0.65 0.00 0.00
5 2017_10_22_17:14:45_147 3 0 1.828 0.1 0.4385,0.4223 3046 7.56E-003 579.4 61.5 704.4 79.2 10.20 0.05 48.47
--            --             -- 1 2.798 0.1 0.4505,0.4239 2940 5.89E-003 581.3 62.5 762.8 83.1 9.00 0.04 32.17
--            --             -- 2 2.476 0.0 0.4455,0.4387 3126 1.20E-002 578.8 65.5 724.5 78.6 9.34 0.03 94.34
6 2017_10_22_17:14:46_238 3 0 1.830 1.0 0.4364,0.4570 3321 2.05E-002 575.3 71.3 760.7 67.5 6.40 0.01 3.62
--            --             -- 1 2.801 2.0 0.4458,0.4554 3236 1.80E-002 577.0 70.6 545.6 65.4 8.20 0.02 1.48
--            --             -- 2 2.477 2.3 0.4541,0.4496 3072 1.47E-002 578.5 71.3 702.5 73.0 8.09 0.02 1.40
7 2017_10_22_17:14:47_001 3 0 1.829 0.1 0.4245,0.4458 3442 1.86E-002 575.0 64.4 761.4 64.3 8.05 0.01 38.63
--            --             -- 1 2.799 0.1 0.4549,0.4384 2981 1.07E-002 579.9 68.2 729.6 77.8 7.54 0.02 24.50
--            --             -- 2 2.474 0.1 0.4470,0.4387 3102 1.18E-002 579.0 65.9 545.8 76.1 8.15 0.02 54.93
8 2017_10_22_17:14:47_726 3 0 1.828 0.9 0.4423,0.4272 3023 8.88E-003 579.2 64.2 731.5 78.1 8.13 0.03 5.51
--            --             -- 1 2.797 1.2 0.4427,0.4390 3172 1.26E-002 578.5 64.7 545.6 76.0 8.95 0.02 2.69
--            --             -- 2 2.474 1.6 0.4427,0.4467 3226 1.54E-002 577.6 67.0 666.2 67.4 8.07 0.02 2.01
9 2017_10_22_17:14:48_814 3 0 1.828 2.1 0.4448,0.4420 3092 1.39E-002 577.7 69.4 545.1 65.6 7.65 0.02 2.10
--            --             -- 1 2.794 1.2 0.4486,0.4364 3060 1.07E-002 579.5 65.7 694.1 84.4 9.67 0.03 2.91
--            --             -- 2 2.472 0.3 0.4581,0.4341 2903 8.73E-003 580.7 67.8 717.8 79.2 8.72 0.03 11.02
