记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_06_15 10:10:35 933 10 0 9.217 0.2 0.5045,0.4338 2372 2.79E-003 586.3 75.7 762.7 93.4 30.42 0.26 14.49
1 2017_06_15 10:10:36 742 10 0 9.204 0.1 0.5050,0.4345 2372 3.03E-003 586.2 76.0 762.0 94.3 29.52 0.24 28.14
2 2017_06_15 10:10:37 608 10 0 9.215 0.0 0.5063,0.4343 2356 2.92E-003 586.3 76.4 762.1 94.3 29.02 0.24 151.88
3 2017_06_15 10:10:39 250 10 0 9.212 0.3 0.5072,0.4342 2346 2.88E-003 586.4 76.6 762.0 93.9 28.57 0.23 11.07
4 2017_06_15 10:10:39 270 10 0 9.225 0.2 0.5069,0.4348 2354 3.07E-003 586.3 76.7 762.1 93.9 28.03 0.22 15.41
5 2017_06_15 10:10:39 290 10 0 9.209 0.2 0.5065,0.4350 2359 3.15E-003 586.2 76.6 762.1 93.9 27.81 0.22 15.31
6 2017_06_15 10:10:39 311 10 0 9.230 0.2 0.5071,0.4345 2349 2.99E-003 586.4 76.7 762.1 93.8 27.52 0.22 12.48
7 2017_06_15 10:10:39 333 10 0 9.229 0.3 0.5072,0.4353 2353 3.22E-003 586.3 76.9 762.1 93.4 27.37 0.22 8.92
8 2017_06_15 10:10:39 352 10 0 9.233 0.3 0.5068,0.4358 2362 3.41E-003 586.1 77.0 762.1 93.1 27.23 0.22 8.34
9 2017_06_15 10:10:39 374 10 0 9.206 0.3 0.5075,0.4357 2354 3.37E-003 586.2 77.1 762.1 93.0 27.07 0.21 8.84
10 2017_06_15 10:10:39 395 10 0 9.216 0.3 0.5073,0.4363 2360 3.57E-003 586.1 77.3 762.1 92.9 26.96 0.21 8.79
11 2017_06_15 10:10:39 416 10 0 9.206 0.3 0.5074,0.4363 2358 3.55E-003 586.1 77.3 762.1 93.1 27.05 0.21 8.31
12 2017_06_15 10:10:39 439 10 0 9.213 0.4 0.5074,0.4363 2358 3.56E-003 586.1 77.3 762.1 93.1 27.01 0.21 7.23
13 2017_06_15 10:10:39 463 10 0 9.216 0.3 0.5076,0.4363 2357 3.56E-003 586.1 77.4 762.1 93.1 27.00 0.21 8.81
14 2017_06_15 10:10:39 499 10 0 9.203 0.1 0.5075,0.4364 2359 3.59E-003 586.1 77.4 762.1 93.1 26.88 0.21 35.12
15 2017_06_15 10:10:39 524 10 0 9.218 0.2 0.5077,0.4367 2358 3.67E-003 586.1 77.5 762.1 92.8 26.99 0.21 12.80
16 2017_06_15 10:10:39 548 10 0 9.200 0.1 0.5078,0.4367 2357 3.67E-003 586.1 77.5 762.0 93.0 26.84 0.21 28.05
17 2017_06_15 10:10:39 572 10 0 9.219 0.0 0.5078,0.4367 2357 3.67E-003 586.1 77.5 762.0 92.9 26.66 0.21 69.51
18 2017_06_15 10:10:39 597 10 0 9.236 0.3 0.5077,0.4369 2360 3.75E-003 586.1 77.6 762.1 92.9 26.65 0.21 8.16
19 2017_06_15 10:10:39 620 10 0 9.199 0.6 0.5078,0.4368 2358 3.71E-003 586.1 77.6 762.1 92.9 26.66 0.21 4.49
20 2017_06_15 10:10:39 645 10 0 9.209 0.2 0.5076,0.4370 2361 3.76E-003 586.1 77.6 762.0 92.9 26.68 0.21 17.41
21 2017_06_15 10:10:39 670 10 0 9.210 0.0 0.5076,0.4370 2362 3.78E-003 586.1 77.6 762.1 92.8 26.64 0.21 278.10
22 2017_06_15 10:10:39 696 10 0 9.219 0.3 0.5077,0.4369 2360 3.76E-003 586.1 77.6 762.1 92.8 26.62 0.21 10.68
23 2017_06_15 10:10:39 721 10 0 9.218 0.7 0.5076,0.4370 2361 3.78E-003 586.1 77.6 762.1 92.8 26.58 0.21 4.26
24 2017_06_15 10:10:39 746 10 0 9.229 0.1 0.5076,0.4370 2362 3.78E-003 586.1 77.6 762.1 92.7 26.62 0.21 25.21
25 2017_06_15 10:10:39 770 10 0 9.215 0.3 0.5076,0.4370 2362 3.78E-003 586.1 77.6 762.0 92.7 26.63 0.21 10.68
26 2017_06_15 10:10:39 794 10 0 9.216 0.2 0.5076,0.4370 2361 3.78E-003 586.1 77.6 762.0 92.7 26.63 0.21 18.52
27 2017_06_15 10:10:39 815 10 0 9.206 0.3 0.5077,0.4370 2360 3.77E-003 586.1 77.6 762.0 92.7 26.63 0.21 8.18
28 2017_06_15 10:10:39 835 10 0 9.216 0.6 0.5077,0.4370 2361 3.77E-003 586.1 77.6 762.1 92.7 26.64 0.21 4.56
29 2017_06_15 10:10:39 855 10 0 9.223 0.6 0.5077,0.4370 2360 3.76E-003 586.1 77.6 762.1 92.7 26.67 0.21 4.56
30 2017_06_15 10:10:39 875 10 0 9.218 0.6 0.5078,0.4369 2359 3.75E-003 586.1 77.6 762.1 92.7 26.69 0.21 4.49
31 2017_06_15 10:10:39 900 10 0 9.219 0.7 0.5077,0.4370 2360 3.76E-003 586.1 77.6 762.1 92.7 26.71 0.21 4.22
32 2017_06_15 10:10:39 923 10 0 9.215 0.2 0.5078,0.4371 2360 3.79E-003 586.1 77.6 762.0 92.6 26.67 0.21 11.59
33 2017_06_15 10:10:39 947 10 0 9.213 0.1 0.5079,0.4371 2359 3.80E-003 586.1 77.7 762.0 92.6 26.65 0.21 27.81
