 记录条数:1 2017_06_05 11:40:36 352  bin号:5 晶号:0 电压(V):11.638 反向漏电流(uA):0.7色坐标(x,y)0.5818,0.4003相关色温(K)1562色差2.41E-003主波长(nm)595.8色纯度(%)88.8峰值波长(nm)754.3显色性指数98.2光通量(lm)14.61辐射通量(mW)0.25光效1.77
                                晶号:1 电压(V):11.264 反向漏电流(uA):0.1色坐标(x,y)0.5735,0.3896相关色温(K)1549色差2.38E-003主波长(nm)595.0色纯度(%)89.1峰值波长(nm)778.9显色性指数96.3光通量(lm)12.93辐射通量(mW)0.22光效14.35
                                晶号:2 电压(V):11.278 反向漏电流(uA):0.0色坐标(x,y)0.5721,0.3908相关色温(K)1563色差2.25E-003主波长(nm)594.7色纯度(%)89.0峰值波长(nm)779.0显色性指数95.8光通量(lm)12.54辐射通量(mW)0.21光效55.58
 记录条数:2 2017_06_05 11:40:36 400  bin号:5 晶号:0 电压(V):11.597 反向漏电流(uA):0.6色坐标(x,y)0.5817,0.4020相关色温(K)1571色差1.99E-003主波长(nm)595.5色纯度(%)89.3峰值波长(nm)777.8显色性指数97.0光通量(lm)13.29辐射通量(mW)0.20光效1.65
                                晶号:1 电压(V):11.304 反向漏电流(uA):0.0色坐标(x,y)0.5709,0.3932相关色温(K)1583色差-1.78E-003主波长(nm)594.3色纯度(%)89.4峰值波长(nm)754.4显色性指数96.0光通量(lm)12.08辐射通量(mW)0.19光效35.61
                                晶号:2 电压(V):11.257 反向漏电流(uA):0.1色坐标(x,y)0.5704,0.3940相关色温(K)158 记录条数:3 2017_06_05 11:40:36 443  bin号:5 晶号:0 电压(V):11.618 反向漏电流(uA):0.7色坐标(x,y)0.5781,0.4062相关色温(K)1615色差-1.33E-003主波长(nm)594.7色纯度(%)89.4峰值波长(nm)777.6显色性指数94.7光通量(lm)12.50辐射通量(mW)0.17光效1.45
                                晶号:1 电压(V):11.292 反向漏电流(uA):0.1色坐标(x,y)0.5690,0.3955相关色温(K)1606色差-1.42E-003主波长(nm)593.8色纯度(%)89.5峰值波长(nm)748.9显色性指数93.4光通量(lm)11.37辐射通量(mW)0.16光效20.14
                                晶号:2 电压(V):11.266 反向漏电流(uA):0.0色坐标(x,y)0.5687,0.3959相关色温(K)1609色差1.35E-003主波长(nm)593.7色纯度(%)89.5峰值波长(nm)748.8显色性指数93.5光通量(lm)11.14辐射通量(mW)0.16光效0.00
 记录条数:4 2017_06_05 11:40:36 481  bin号:5 晶号:0 电压(V):11.601 反向漏电流(uA):0.7色坐标(x,y)0.5785,0.4060相关色温(K)1611色差1.34E-003主波长(nm)594.7色纯度(%)89.5峰值波长(nm)747.3显色性指数94.7光通量(lm)12.13辐射通量(mW)0.16光效1.41
                                晶号:1 电压(V):25.333 反向漏电流(uA):0.1色坐标(x,y)0.5685,0.3960相关色温(K)1611色差-1.35E-003主波长(nm)593.7色纯度(%)89.5峰值波长(nm)748.5显色性指数93.9光通量(lm)10.98辐射通量(mW)0.15光效6.19
                                晶号:2 电压(V):25.333 反向漏电流(uA):0.0色坐标(x,y)0.5668,0.3974相关色温(K)1628色差1.18E-003主波长(nm)593.4色纯度(%)89.4峰值波长(nm)753.7显色性指数91.9光通量(lm)10.77辐射通量(mW)0.15光效21.26
 记录条数:5 2017_06_05 11:40:36 517  bin号:5 晶号:0 电压(V):11.610 反向漏电流(uA):0.6色坐标(x,y)0.5778,0.4069相关色温(K)1619色差1.20E-003主波长(nm)594.5色纯度(%)89.5峰值波长(nm)752.6显色性指数94.2光通量(lm)11.90辐射通量(mW)0.15光效1.51
                                晶号:1 电压(V):11.298 反向漏电流(uA):0.1色坐标(x,y)0.5678,0.3969相关色温(K)1620色差-1.20E-003主波长(nm)593.5色纯度(%)89.5峰值波长(nm)753.8显色性指数93.4光通量(lm)10.95辐射通量(mW)0.15光效13.85
                                晶号:2 电压(V):11.281 反向漏电流(uA):0.0色坐标(x,y)0.5679,0.3969相关色温(K)1620色差-1.18E-003主波长(nm)593.5色纯度(%)89.6峰值波长(nm)748.6显色性指数93.2光通量(lm)10.87辐射通量(mW)0.15光效0.00
 记录条数:6 2017_06_05 11:40:36 553  bin号:5 晶号:0 电压(V):11.604 反向漏电流(uA):0.7色坐标(x,y)0.5779,0.4068相关色温(K)1619色差-1.20E-003主波长(nm)594.6色纯度(%)89.6峰值波长(nm)752.7显色性指数94.1光通量(lm)11.86辐射通量(mW)0.15光效1.40
                                晶号:1 电压(V):11.287 反向漏电流(uA):0.0色坐标(x,y)0.5681,0.3969相关色温(K)1618色差1.18E-003主波长(nm)593.6色纯度(%)89.6峰值波长(nm)753.8显色性指数93.2光通量(lm)10.79辐射通量(mW)0.15光效31.88
                                晶号:2 电压(V):11.267 反向漏电流(uA):0.1色坐标(x,y)0.5678,0.3971相关色温(K)1621色差-1.13E-003主波长(nm)593.5色纯度(%)89.7峰值波长(nm)753.8显色性指数93.0光通量(lm)10.76辐射通量(mW)0.15光效19.10
 记录条数:7 2017_06_05 11:40:36 589  bin号:5 晶号:0 电压(V):11.594 反向漏电流(uA):0.6色坐标(x,y)0.5784,0.4067相关色温(K)1615色差1.19E-003主波长(nm)594.6色纯度(%)89.7峰值波长(nm)752.7显色性指数93.6光通量(lm)11.83辐射通量(mW)0.15光效1.51
                                晶号:1 电压(V):11.262 反向漏电流(uA):0.0色坐标(x,y)0.5681,0.3968相关色温(K)1617色差-1.20E-003主波长(nm)593.6色纯度(%)89.6峰值波长(nm)753.8显色性指数92.6光通量(lm)10.83辐射通量(mW)0.15光效0.00
                                晶号:2 电压(V):11.277 反向漏电流(uA):0.1色坐标(x,y)0.5682,0.3971相关色温(K)1618色差1.09E-003主波长(nm)593.5色纯度(%)89.8峰值波长(nm)753.8显色性指数92.4光通量(lm)10.72辐射通量(mW)0.15光效13.58
 记录条数:8 2017_06_05 11:40:36 625  bin号:5 晶号:0 电压(V):11.611 反向漏电流(uA):0.6色坐标(x,y)0.5771,0.4080相关色温(K)1630色差-1.00E-003主波长(nm)594.3色纯度(%)89.7峰值波长(nm)752.7显色性指数93.8光通量(lm)11.60辐射通量(mW)0.14光效1.45
                                晶号:1 电压(V):25.333 反向漏电流(uA):0.0色坐标(x,y)0.5683,0.3970相关色温(K)1617色差1.10E-003主波长(nm)593.5色纯度(%)89.8峰值波长(nm)753.8显色性指数92.6光通量(lm)10.68辐射通量(mW)0.15光效0.00
                                晶号:2 电压(V):11.271 反向漏电流(uA):0.1色坐标(x,y)0.5682,0.3974相关色温(K)1620色差1.04E-003主波长(nm)593.5色纯度(%)89.8峰值波长(nm)753.8显色性指数92.9光通量(lm)10.64辐射通量(mW)0.15光效15.74
 记录条数:9 2017_06_05 11:40:36 661  bin号:5 晶号:0 电压(V):11.618 反向漏电流(uA):0.7色坐标(x,y)0.5779,0.4074相关色温(K)1622色差-1.05E-003主波长(nm)594.5色纯度(%)89.7峰值波长(nm)752.7显色性指数93.9光通量(lm)11.58辐射通量(mW)0.14光效1.30
