记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_06_12 15:03:57 115 8 0 1.097 44.0 0.5569,0.4040 1736 -4.05E-003 594.0 82.4 778.9 96.7 21.71 0.29 0.42
                                1 11.233 0.1 0.5475,0.3977 1753 -2.99E-003 592.5 83.7 776.8 95.6 17.83 0.21 15.87
                                2 11.239 0.1 0.5454,0.4004 1783 -2.43E-003 591.9 83.9 770.1 88.4 16.52 0.18 29.39
1 2017_06_12 15:03:57 158 9 0 2.931 0.0 0.5543,0.4116 1797 -2.20E-003 592.7 83.9 768.9 91.1 16.97 0.17 135.71
                                1 11.077 0.2 0.5448,0.4016 1793 -2.16E-003 591.7 84.1 770.0 92.2 15.11 0.16 9.09
                                2 25.333 0.0 0.5454,0.4020 1791 -1.99E-003 591.7 84.3 769.9 92.0 15.03 0.16 14.83
2 2017_06_12 15:03:57 198 9 0 2.927 0.2 0.5561,0.4120 1787 -1.95E-003 592.7 84.6 768.9 92.4 15.89 0.16 26.68
                                1 11.100 0.1 0.5462,0.4023 1788 -1.84E-003 591.6 84.7 769.6 91.1 14.82 0.15 22.25
                                2 25.333 0.0 0.5465,0.4025 1786 -1.77E-003 591.6 84.8 769.7 91.0 14.76 0.15 19.42
3 2017_06_12 15:03:57 240 9 0 2.966 1.6 0.5566,0.4129 1788 -1.64E-003 592.6 85.0 768.6 91.6 15.56 0.15 3.14
                                1 11.190 0.1 0.5463,0.4035 1794 -1.51E-003 591.5 85.1 769.7 90.3 14.45 0.15 16.14
                                2 11.236 0.0 0.5465,0.4032 1791 -1.56E-003 591.5 85.1 737.7 91.8 14.22 0.14 126.56
4 2017_06_12 15:03:57 284 7 0 0.971 44.0 0.5564,0.4137 1794 -1.45E-003 592.4 85.2 736.6 92.1 15.20 0.14 0.33
                                1 11.274 0.1 0.5464,0.4038 1795 -1.41E-003 591.4 85.2 737.6 90.1 14.25 0.14 11.49
                                2 11.239 0.0 0.5466,0.4040 1794 -1.36E-003 591.4 85.3 737.7 90.3 14.22 0.14 42.18
5 2017_06_12 15:03:57 325 7 0 0.970 44.0 0.5566,0.4140 1794 -1.35E-003 592.4 85.3 736.6 91.2 15.17 0.14 0.33
                                1 11.263 0.1 0.5464,0.4043 1797 -1.29E-003 591.3 85.4 737.8 90.0 14.11 0.14 9.64
                                2 25.333 0.0 0.5464,0.4045 1799 -1.23E-003 591.3 85.4 770.2 89.6 14.06 0.14 18.50
6 2017_06_12 15:03:57 366 7 0 0.970 44.0 0.5565,0.4146 1799 -1.21E-003 592.3 85.4 736.5 90.5 15.05 0.14 0.33
                                1 11.315 0.1 0.5463,0.4047 1801 -1.18E-003 591.3 85.5 737.7 89.6 14.00 0.14 12.38
                                2 11.241 0.0 0.5463,0.4047 1801 -1.20E-003 591.3 85.4 737.7 89.5 14.00 0.13 0.00
7 2017_06_12 15:03:57 409 7 0 0.964 44.0 0.5563,0.4146 1800 -1.21E-003 592.3 85.4 736.8 90.6 14.98 0.13 0.33
                                1 11.295 0.1 0.5462,0.4048 1802 -1.17E-003 591.3 85.5 737.8 89.4 13.94 0.13 10.28
                                2 11.253 0.0 0.5463,0.4048 1801 -1.16E-003 591.3 85.5 737.9 89.3 13.92 0.13 0.00
8 2017_06_12 15:03:57 446 7 0 0.973 44.0 0.5563,0.4148 1801 -1.15E-003 592.3 85.5 736.6 90.3 14.89 0.13 0.32
                                1 11.274 0.1 0.5464,0.4048 1800 -1.16E-003 591.3 85.5 737.8 89.3 13.89 0.13 15.41
                                2 11.238 0.0 0.5464,0.4049 1801 -1.12E-003 591.3 85.5 738.3 89.2 13.85 0.13 0.00
9 2017_06_12 15:03:57 485 7 0 0.974 44.0 0.5563,0.4150 1802 -1.09E-003 592.2 85.6 740.1 90.2 14.79 0.13 0.32
                                1 11.294 0.1 0.5463,0.4050 1802 -1.09E-003 591.2 85.5 739.2 89.2 13.78 0.13 12.20
                                2 11.231 0.0 0.5462,0.4052 1804 -1.06E-003 591.2 85.6 738.1 89.1 13.75 0.13 40.80
10 2017_06_12 15:03:57 522 7 0 0.969 44.0 0.5562,0.4153 1804 1.02E-003 592.2 85.6 740.1 90.1 14.70 0.13 0.32
                                1 11.268 0.1 0.5462,0.4054 1805 -1.00E-003 591.2 85.6 741.1 89.1 13.66 0.13 11.02
                                2 11.234 0.0 0.5464,0.4053 1803 1.01E-003 591.2 85.7 741.2 89.1 13.65 0.13 40.51
11 2017_06_12 15:03:57 559 7 0 0.969 44.0 0.5564,0.4153 1803 -1.03E-003 592.2 85.6 769.9 90.1 14.64 0.13 0.32
                                1 11.266 0.1 0.5465,0.4052 1802 -1.02E-003 591.2 85.7 771.1 89.0 13.60 0.13 12.07
                                2 11.242 0.0 0.5465,0.4054 1803 -9.91E-004 591.2 85.7 741.2 89.0 13.55 0.12 30.13
12 2017_06_12 15:03:57 595 7 0 0.969 44.0 0.5566,0.4154 1803 -9.88E-004 592.2 85.7 740.0 90.0 14.51 0.12 0.31
                                1 11.278 0.1 0.5466,0.4053 1802 -1.01E-003 591.2 85.7 771.0 88.9 13.53 0.12 13.33
                                2 11.244 0.0 0.5466,0.4053 1802 -9.98E-004 591.2 85.7 739.8 89.0 13.55 0.13 40.16
13 2017_06_12 15:03:57 632 7 0 0.969 44.0 0.5566,0.4154 1803 -9.83E-004 592.2 85.7 740.0 89.9 14.54 0.12 0.31
                                1 11.284 0.1 0.5465,0.4054 1803 -9.85E-004 591.2 85.7 739.8 89.0 13.54 0.12 20.00
                                2 11.238 0.0 0.5465,0.4054 1804 -9.72E-004 591.2 85.7 738.2 88.9 13.52 0.12 60.17
14 2017_06_12 15:03:57 682 7 0 0.971 44.0 0.5565,0.4155 1804 -9.57E-004 592.2 85.8 736.9 89.9 14.52 0.12 0.31
                                1 11.247 0.1 0.5466,0.4054 1803 -9.81E-004 591.2 85.7 738.0 89.0 13.52 0.12 10.93
                                2 11.257 0.0 0.5470,0.4049 1797 -1.06E-003 591.3 85.7 738.0 88.8 13.47 0.12 39.87
15 2017_06_12 15:03:57 730 7 0 0.972 44.0 0.5566,0.4154 1802 -9.70E-004 592.2 85.8 736.9 89.9 14.50 0.12 0.31
                                1 11.271 0.1 0.5466,0.4054 1802 -9.68E-004 591.2 85.8 771.5 88.9 13.49 0.12 17.10
                                2 11.245 0.0 0.5465,0.4057 1805 -9.01E-004 591.1 85.8 771.4 87.8 13.51 0.12 120.13
16 2017_06_12 15:03:57 779 7 0 0.974 44.0 0.5569,0.4152 1799 -1.01E-003 592.2 85.8 736.7 89.9 14.47 0.12 0.31
                                1 11.276 0.0 0.5469,0.4052 1800 -1.00E-003 591.2 85.8 737.7 88.8 13.47 0.12 29.86
                                2 11.253 0.0 0.5468,0.4053 1801 -9.94E-004 591.2 85.8 737.6 88.8 13.48 0.12 29.95
17 2017_06_12 15:03:57 828 7 0 0.972 44.0 0.5568,0.4153 1800 -9.89E-004 592.2 85.8 736.5 89.8 14.46 0.12 0.31
                                1 11.286 0.2 0.5469,0.4053 1800 -9.82E-004 591.2 85.8 737.7 88.8 13.46 0.12 7.95
                                2 11.271 0.1 0.5469,0.4052 1799 -1.00E-003 591.2 85.8 737.6 88.8 13.46 0.12 23.89
18 2017_06_12 15:03:57 875 7 0 0.966 44.0 0.5566,0.4153 1802 -9.92E-004 592.2 85.7 736.5 91.6 14.38 0.12 0.31
                                1 11.288 0.1 0.5467,0.4053 1801 -9.92E-004 591.2 85.8 737.6 90.0 13.35 0.12 11.83
                                2 25.333 0.0 0.5462,0.4049 1803 -1.14E-003 591.2 85.5 737.7 89.6 13.37 0.12 26.39
19 2017_06_12 15:03:57 911 7 0 0.967 44.0 0.5568,0.4155 1802 -9.30E-004 592.2 85.8 736.6 90.2 14.38 0.12 0.31
                                1 11.274 0.1 0.5468,0.4054 1801 -9.43E-004 591.2 85.8 737.7 89.0 13.37 0.12 19.77
                                2 11.233 0.0 0.5468,0.4054 1801 -9.57E-004 591.2 85.8 737.7 89.0 13.36 0.12 59.47
20 2017_06_12 15:03:57 951 7 0 0.963 44.0 0.5567,0.4154 1802 -9.60E-004 592.2 85.8 715.5 90.0 14.35 0.12 0.31
                                1 11.277 0.1 0.5468,0.4056 1802 -9.13E-004 591.2 85.9 737.7 88.9 13.33 0.12 19.70
                                2 11.259 0.0 0.5468,0.4054 1801 9.49E-004 591.2 85.8 737.8 88.9 13.31 0.12 0.00
21 2017_06_12 15:03:57 987 7 0 0.970 44.0 0.5568,0.4155 1802 -9.27E-004 592.2 85.8 736.7 90.0 14.31 0.12 0.31
                                1 11.286 0.0 0.5468,0.4055 1802 -9.28E-004 591.2 85.8 737.8 89.0 13.31 0.12 39.32
                                2 11.251 0.0 0.5468,0.4055 1802 -9.35E-004 591.2 85.8 737.9 89.0 13.31 0.12 39.44
22 2017_06_12 15:03:58 022 7 0 0.962 44.0 0.5568,0.4155 1801 -9.36E-004 592.2 85.9 736.7 89.8 14.33 0.12 0.31
                                1 11.301 0.1 0.5468,0.4055 1802 -9.35E-004 591.2 85.8 737.8 88.9 13.34 0.12 10.73
                                2 11.240 0.0 0.5466,0.4055 1803 -9.31E-004 591.2 85.8 737.8 88.8 13.32 0.12 39.51
23 2017_06_12 15:03:58 059 7 0 0.954 44.0 0.5563,0.4160 1808 -8.49E-004 592.1 85.8 736.7 89.9 14.37 0.12 0.32
                                1 11.261 0.1 0.5466,0.4055 1803 -9.45E-004 591.2 85.8 737.8 88.7 13.31 0.12 9.85
                                2 11.259 0.0 0.5467,0.4055 1803 -9.32E-004 591.2 85.8 737.8 88.6 13.29 0.12 118.01
24 2017_06_12 15:03:58 096 7 0 0.973 44.0 0.5567,0.4156 1803 -9.24E-004 592.2 85.8 736.7 89.7 14.30 0.12 0.31
                                1 11.268 0.1 0.5466,0.4056 1804 -9.13E-004 591.2 85.8 737.9 88.7 13.29 0.12 11.80
                                2 11.214 0.1 0.5467,0.4056 1803 -9.15E-004 591.2 85.8 737.9 88.7 13.29 0.12 23.70
25 2017_06_12 15:03:58 132 7 0 0.973 44.0 0.5566,0.4156 1804 -9.13E-004 592.2 85.8 736.8 89.7 14.30 0.12 0.31
                                1 11.296 0.1 0.5466,0.4056 1804 -9.11E-004 591.2 85.8 738.0 88.6 13.29 0.12 19.61
                                2 11.241 0.0 0.5466,0.4056 1804 -9.17E-004 591.2 85.8 738.0 88.6 13.31 0.12 29.60
26 2017_06_12 15:03:58 169 7 0 0.969 44.0 0.5565,0.4156 1804 -9.21E-004 592.2 85.8 730.1 89.6 14.30 0.12 0.31
                                1 11.277 0.1 0.5465,0.4056 1804 -9.22E-004 591.2 85.8 738.1 88.6 13.29 0.12 23.57
                                2 25.333 0.0 0.5465,0.4056 1805 -9.20E-004 591.1 85.8 738.0 88.6 13.28 0.12 17.48
27 2017_06_12 15:03:58 206 7 0 0.970 44.0 0.5565,0.4156 1804 -9.30E-004 592.2 85.8 736.9 89.6 14.29 0.12 0.31
                                1 11.288 0.1 0.5465,0.4056 1804 -9.15E-004 591.2 85.8 731.2 88.5 13.28 0.12 16.81
                                2 11.258 0.0 0.5466,0.4056 1804 -9.18E-004 591.2 85.8 738.0 88.6 13.29 0.12 118.03
28 2017_06_12 15:03:58 243 7 0 0.976 44.0 0.5566,0.4156 1804 -9.21E-004 592.2 85.8 736.9 89.6 14.29 0.12 0.31
                                1 11.284 0.1 0.5466,0.4056 1804 -9.12E-004 591.2 85.8 731.2 88.5 13.28 0.12 10.70
                                2 11.250 0.1 0.5465,0.4057 1804 9.05E-004 591.1 85.8 737.9 88.5 13.28 0.12 16.86
29 2017_06_12 15:03:58 284 7 0 0.972 44.0 0.5565,0.4157 1804 9.02E-004 592.1 85.8 736.9 89.5 14.28 0.12 0.31
                                1 11.282 0.1 0.5465,0.4057 1805 -8.99E-004 591.1 85.8 737.9 88.5 13.27 0.12 11.76
                                2 11.238 0.0 0.5466,0.4057 1804 -8.96E-004 591.1 85.8 728.6 88.5 13.26 0.12 39.34
30 2017_06_12 15:03:58 324 7 0 0.970 44.0 0.5565,0.4158 1805 -8.80E-004 592.1 85.8 736.9 89.5 14.25 0.12 0.31
                                1 11.293 0.1 0.5465,0.4058 1805 -8.70E-004 591.1 85.9 738.0 88.4 13.25 0.12 19.55
                                2 25.333 0.1 0.5466,0.4058 1805 -8.71E-004 591.1 85.9 738.0 88.4 13.25 0.12 8.71
31 2017_06_12 15:03:58 365 7 0 0.970 44.0 0.5566,0.4158 1805 -8.60E-004 592.1 85.9 736.9 89.4 14.24 0.12 0.31
                                1 11.282 0.1 0.5465,0.4058 1806 -8.58E-004 591.1 85.9 731.1 88.4 13.24 0.12 11.74
                                2 11.253 0.0 0.5466,0.4059 1805 8.53E-004 591.1 85.9 731.1 88.4 13.23 0.12 0.00
32 2017_06_12 15:03:58 413 7 0 0.971 44.0 0.5566,0.4158 1805 -8.55E-004 592.1 85.9 730.0 89.4 14.23 0.12 0.31
                                1 11.278 0.1 0.5465,0.4058 1805 8.58E-004 591.1 85.9 731.1 88.5 13.24 0.12 11.74
                                2 11.236 0.1 0.5466,0.4059 1805 8.52E-004 591.1 85.9 731.1 88.4 13.23 0.12 16.82
33 2017_06_12 15:03:58 457 7 0 0.969 44.0 0.5566,0.4158 1805 -8.58E-004 592.1 85.9 730.0 89.4 14.24 0.12 0.31
                                1 11.271 0.1 0.5466,0.4058 1805 -8.54E-004 591.1 85.9 731.1 88.4 13.23 0.12 11.74
                                2 11.221 0.0 0.5466,0.4058 1805 -8.61E-004 591.1 85.9 701.5 88.4 13.22 0.12 117.85
34 2017_06_12 15:03:58 501 7 0 0.973 44.0 0.5566,0.4158 1805 -8.55E-004 592.1 85.9 700.9 89.4 14.23 0.12 0.31
                                1 11.285 0.1 0.5466,0.4059 1805 8.47E-004 591.1 85.9 737.9 88.4 13.22 0.12 16.73
                                2 11.252 0.0 0.5466,0.4059 1805 8.51E-004 591.1 85.9 731.1 88.4 13.23 0.12 0.00
35 2017_06_12 15:03:58 542 7 0 0.978 44.0 0.5566,0.4159 1806 -8.39E-004 592.1 85.9 730.0 89.4 14.22 0.12 0.30
                                1 11.297 0.1 0.5466,0.4059 1805 8.44E-004 591.1 85.9 731.1 88.4 13.22 0.12 9.00
                                2 11.275 0.0 0.5466,0.4056 1804 -9.07E-004 591.2 85.8 731.1 88.3 13.13 0.12 116.49
36 2017_06_12 15:03:58 578 7 0 0.966 44.0 0.5569,0.4156 1802 -9.07E-004 592.2 85.9 730.0 89.2 14.17 0.12 0.31
                                1 11.276 0.1 0.5469,0.4056 1802 -9.09E-004 591.2 85.9 731.1 88.2 13.18 0.12 9.74
                                2 11.244 0.0 0.5468,0.4056 1803 -8.95E-004 591.2 85.9 731.1 88.2 13.19 0.12 117.30
37 2017_06_12 15:03:58 614 7 0 0.970 44.0 0.5568,0.4156 1802 8.93E-004 592.2 85.9 730.0 89.3 14.20 0.12 0.31
                                1 11.273 0.1 0.5468,0.4057 1803 -8.87E-004 591.2 85.9 731.1 88.4 13.19 0.12 9.75
                                2 11.217 0.0 0.5468,0.4057 1803 -8.78E-004 591.1 85.9 731.1 88.3 13.19 0.12 0.00
38 2017_06_12 15:03:58 664 7 0 0.966 44.0 0.5568,0.4157 1803 -8.73E-004 592.1 85.9 730.0 89.3 14.19 0.12 0.31
                                1 11.301 0.1 0.5467,0.4058 1803 8.66E-004 591.1 85.9 731.1 88.2 13.20 0.12 9.73
                                2 11.250 0.1 0.5467,0.4058 1804 -8.58E-004 591.1 85.9 731.1 88.2 13.19 0.12 19.54
39 2017_06_12 15:03:58 716 7 0 0.973 44.0 0.5567,0.4158 1804 -8.49E-004 592.1 85.9 730.0 89.2 14.18 0.12 0.30
                                1 11.288 0.1 0.5467,0.4058 1804 -8.49E-004 591.1 85.9 737.8 88.2 13.18 0.12 14.60
                                2 11.243 0.0 0.5467,0.4058 1804 -8.49E-004 591.1 85.9 737.8 88.1 13.17 0.12 29.29
40 2017_06_12 15:03:58 760 7 0 0.983 44.0 0.5567,0.4158 1804 8.48E-004 592.1 85.9 736.7 89.2 14.17 0.12 0.30
                                1 11.286 0.0 0.5467,0.4059 1805 -8.45E-004 591.1 85.9 737.8 88.2 13.17 0.12 38.89
                                2 11.231 0.1 0.5467,0.4059 1805 -8.42E-004 591.1 85.9 731.1 88.2 13.17 0.12 16.75
41 2017_06_12 15:03:58 804 7 0 0.972 44.0 0.5566,0.4159 1805 -8.35E-004 592.1 85.9 736.6 89.1 14.16 0.12 0.30
                                1 11.269 0.1 0.5466,0.4059 1805 -8.31E-004 591.1 85.9 737.8 88.1 13.15 0.12 14.58
                                2 11.245 0.1 0.5466,0.4060 1805 8.22E-004 591.1 85.9 731.1 88.1 13.14 0.12 16.69
42 2017_06_12 15:03:58 846 7 0 0.971 44.0 0.5566,0.4160 1805 8.16E-004 592.1 85.9 730.0 89.1 14.14 0.12 0.30
                                1 11.271 0.1 0.5466,0.4060 1806 -8.21E-004 591.1 85.9 737.7 88.2 13.14 0.12 10.60
