记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_06_13 15:11:25 518 6 0 -0.010 0.0 0.5248,0.4064 1993 -5.60E-003 591.9 73.5 773.0 93.0 307.20 3.37 0.00
1 2017_06_13 15:11:25 527 6 0 -0.010 0.0 0.5248,0.4064 1993 -5.60E-003 591.9 73.5 773.0 93.0 307.22 3.37 0.00
2 2017_06_13 15:11:25 530 6 0 -0.010 0.0 0.5248,0.4064 1993 -5.60E-003 591.9 73.5 773.0 93.0 307.23 3.37 0.00
3 2017_06_13 15:11:25 533 6 0 -0.010 0.0 0.5247,0.4064 1993 -5.60E-003 591.9 73.5 773.0 93.0 307.25 3.37 0.00
4 2017_06_13 15:11:25 536 6 0 -0.010 0.0 0.5247,0.4064 1993 -5.60E-003 591.9 73.5 773.0 93.0 307.26 3.37 0.00
5 2017_06_13 15:11:25 539 6 0 -0.010 0.0 0.5247,0.4064 1993 -5.59E-003 591.9 73.5 773.0 93.0 307.27 3.37 0.00
6 2017_06_13 15:11:25 542 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.59E-003 591.9 73.5 773.0 93.1 307.28 3.37 0.00
7 2017_06_13 15:11:25 545 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.59E-003 591.9 73.5 773.0 93.1 307.29 3.37 0.00
8 2017_06_13 15:11:25 548 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.59E-003 591.9 73.5 773.0 93.1 307.30 3.37 0.00
9 2017_06_13 15:11:25 551 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.59E-003 591.9 73.5 773.0 93.1 307.31 3.37 0.00
10 2017_06_13 15:11:25 554 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.59E-003 591.9 73.5 773.0 93.1 307.32 3.37 0.00
11 2017_06_13 15:11:25 557 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.59E-003 591.9 73.5 773.0 93.1 307.33 3.37 0.00
12 2017_06_13 15:11:25 560 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.59E-003 591.9 73.5 773.0 93.1 307.34 3.37 0.00
13 2017_06_13 15:11:25 563 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.59E-003 591.9 73.5 773.0 93.1 307.35 3.37 0.00
14 2017_06_13 15:11:25 566 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.59E-003 591.9 73.5 773.0 93.1 307.35 3.37 0.00
15 2017_06_13 15:11:25 569 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.36 3.37 0.00
16 2017_06_13 15:11:25 572 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.37 3.37 0.00
17 2017_06_13 15:11:25 575 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.37 3.37 0.00
18 2017_06_13 15:11:25 578 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.38 3.37 0.00
19 2017_06_13 15:11:25 581 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.38 3.37 0.00
20 2017_06_13 15:11:25 584 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.39 3.37 0.00
21 2017_06_13 15:11:25 587 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.39 3.37 0.00
22 2017_06_13 15:11:25 590 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.40 3.37 0.00
23 2017_06_13 15:11:25 593 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.40 3.37 0.00
24 2017_06_13 15:11:25 596 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.41 3.37 0.00
25 2017_06_13 15:11:25 599 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.41 3.37 0.00
26 2017_06_13 15:11:25 602 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.42 3.37 0.00
27 2017_06_13 15:11:25 605 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.42 3.37 0.00
28 2017_06_13 15:11:25 608 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.43 3.37 0.00
29 2017_06_13 15:11:25 611 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.43 3.37 0.00
30 2017_06_13 15:11:25 614 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.43 3.37 0.00
31 2017_06_13 15:11:25 617 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.44 3.37 0.00
32 2017_06_13 15:11:25 620 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.44 3.37 0.00
33 2017_06_13 15:11:25 623 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.44 3.37 0.00
34 2017_06_13 15:11:25 626 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.45 3.37 0.00
35 2017_06_13 15:11:25 629 6 0 -0.010 0.0 0.5247,0.4064 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.45 3.37 0.00
36 2017_06_13 15:11:25 632 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.45 3.37 0.00
37 2017_06_13 15:11:25 635 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.45 3.37 0.00
38 2017_06_13 15:11:25 638 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.58E-003 591.9 73.5 773.0 93.1 307.46 3.37 0.00
39 2017_06_13 15:11:25 641 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.46 3.37 0.00
40 2017_06_13 15:11:25 644 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.46 3.37 0.00
41 2017_06_13 15:11:25 647 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.47 3.37 0.00
42 2017_06_13 15:11:25 650 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.47 3.37 0.00
43 2017_06_13 15:11:25 653 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.47 3.37 0.00
44 2017_06_13 15:11:25 656 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.47 3.37 0.00
45 2017_06_13 15:11:25 659 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.47 3.37 0.00
46 2017_06_13 15:11:25 662 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.48 3.37 0.00
47 2017_06_13 15:11:25 665 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.48 3.37 0.00
48 2017_06_13 15:11:25 669 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.48 3.37 0.00
49 2017_06_13 15:11:25 671 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.48 3.37 0.00
50 2017_06_13 15:11:25 674 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.49 3.37 0.00
51 2017_06_13 15:11:25 678 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.49 3.37 0.00
52 2017_06_13 15:11:25 681 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.49 3.37 0.00
53 2017_06_13 15:11:25 684 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.49 3.37 0.00
54 2017_06_13 15:11:25 687 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.49 3.37 0.00
55 2017_06_13 15:11:25 690 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.49 3.37 0.00
56 2017_06_13 15:11:25 693 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.9 73.5 773.0 93.1 307.50 3.37 0.00
57 2017_06_13 15:11:25 698 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.50 3.37 0.00
58 2017_06_13 15:11:25 701 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.50 3.37 0.00
59 2017_06_13 15:11:25 704 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.50 3.37 0.00
60 2017_06_13 15:11:25 707 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.50 3.37 0.00
61 2017_06_13 15:11:25 710 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.50 3.37 0.00
62 2017_06_13 15:11:25 713 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.51 3.37 0.00
63 2017_06_13 15:11:25 716 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.51 3.37 0.00
64 2017_06_13 15:11:25 719 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.51 3.37 0.00
65 2017_06_13 15:11:25 722 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.51 3.37 0.00
66 2017_06_13 15:11:25 725 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.51 3.37 0.00
67 2017_06_13 15:11:25 729 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.51 3.37 0.00
68 2017_06_13 15:11:25 732 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.51 3.37 0.00
69 2017_06_13 15:11:25 735 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.52 3.37 0.00
70 2017_06_13 15:11:25 738 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.52 3.37 0.00
71 2017_06_13 15:11:25 741 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.52 3.37 0.00
72 2017_06_13 15:11:25 744 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.52 3.37 0.00
73 2017_06_13 15:11:25 747 6 0 -0.010 0.0 0.5247,0.4065 1994 -5.57E-003 591.8 73.5 773.0 93.1 307.52 3.37 0.00
