54 2017_06_07 15:12:27 436 402.8940.31.0100,0.01001001-6.56E-001769.0100.0548.9非数字1.000.000.00
55 2017_06_07 15:12:27 460 402.8930.31.0100,0.01001001-6.56E-001769.0100.0549.0非数字1.000.000.00
56 2017_06_07 15:12:27 484 402.8900.31.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
57 2017_06_07 15:12:27 514 402.8990.21.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
58 2017_06_07 15:12:27 537 402.8930.31.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
59 2017_06_07 15:12:27 561 402.8960.31.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
60 2017_06_07 15:12:27 585 402.8950.31.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
61 2017_06_07 15:12:27 609 402.8940.21.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
62 2017_06_07 15:12:27 632 402.8980.21.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
63 2017_06_07 15:12:27 655 402.8950.21.0100,0.01001001-6.56E-001769.0100.0503.3非数字1.000.000.00
64 2017_06_07 15:12:27 679 402.8970.31.0100,0.01001001-6.56E-001769.0100.0503.3非数字1.000.000.00
65 2017_06_07 15:12:27 703 402.9090.31.0100,0.01001001-6.56E-001769.0100.0503.3非数字1.000.000.00
66 2017_06_07 15:12:27 726 402.8930.31.0100,0.01001001-6.56E-001769.0100.0503.3非数字1.000.000.00
67 2017_06_07 15:12:27 751 402.8920.21.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
68 2017_06_07 15:12:27 775 402.8970.21.0100,0.01001001-6.56E-001769.0100.0503.3非数字1.000.000.00
69 2017_06_07 15:12:27 799 402.9040.31.0100,0.01001001-6.56E-001769.0100.0503.3非数字1.000.000.00
70 2017_06_07 15:12:27 822 402.9000.31.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
71 2017_06_07 15:12:27 846 402.8960.31.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
72 2017_06_07 15:12:27 870 402.8930.21.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
73 2017_06_07 15:12:27 893 402.8930.31.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
74 2017_06_07 15:12:27 916 402.8970.31.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
75 2017_06_07 15:12:27 940 402.9030.31.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
76 2017_06_07 15:12:27 964 402.8990.31.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
77 2017_06_07 15:12:27 988 402.8960.31.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
78 2017_06_07 15:12:28 012 402.8930.21.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
79 2017_06_07 15:12:28 037 402.8960.31.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
80 2017_06_07 15:12:28 062 402.8960.31.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
81 2017_06_07 15:12:28 086 402.8930.31.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
82 2017_06_07 15:12:28 110 402.8940.21.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
83 2017_06_07 15:12:28 134 402.8960.21.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
84 2017_06_07 15:12:28 159 402.8950.31.0100,0.01001001-6.56E-001769.0100.0503.1非数字1.000.000.00
85 2017_06_07 15:12:28 182 402.8940.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
86 2017_06_07 15:12:28 205 402.8980.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
87 2017_06_07 15:12:28 229 402.8940.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
88 2017_06_07 15:12:28 252 402.8910.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
89 2017_06_07 15:12:28 278 402.8930.31.0100,0.01001001-6.56E-001769.0100.0517.9非数字1.000.000.00
90 2017_06_07 15:12:28 303 402.8980.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
91 2017_06_07 15:12:28 328 402.8960.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
92 2017_06_07 15:12:28 354 402.8970.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
93 2017_06_07 15:12:28 380 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
94 2017_06_07 15:12:28 405 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
95 2017_06_07 15:12:28 431 402.8940.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
