 记录条数:18 2017_06_07 15:10:39 779  bin号:4 晶号:0 电压(V):2.900 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):552.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:19 2017_06_07 15:10:39 803  bin号:4 晶号:0 电压(V):2.890 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):552.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:20 2017_06_07 15:10:39 828  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):552.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:21 2017_06_07 15:10:39 854  bin号:4 晶号:0 电压(V):2.891 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):552.0 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:22 2017_06_07 15:10:39 880  bin号:4 晶号:0 电压(V):2.889 反向漏电流(uA):0.3 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):552.0 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:23 2017_06_07 15:10:39 904  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):755.2 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:24 2017_06_07 15:10:39 928  bin号:4 晶号:0 电压(V):2.890 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):552.0 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:25 2017_06_07 15:10:39 952  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):552.0 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:26 2017_06_07 15:10:39 983  bin号:4 晶号:0 电压(V):2.895 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):552.0 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:27 2017_06_07 15:10:40 006  bin号:4 晶号:0 电压(V):2.892 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):551.8 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
