 记录条数:25 2017_06_05 11:18:11 538  bin号:5 晶号:0 电压(V):11.526 反向漏电流(uA):4.7色坐标(x,y)0.5741,0.4162相关色温(K)1691色差7.93E-004主波长(nm)592.9色纯度(%)91.3峰值波长(nm)716.0显色性指数86.8光通量(lm)7.65辐射通量(mW)0.05光效0.12
 记录条数:26 2017_06_05 11:18:11 568  bin号:5 晶号:0 电压(V):11.531 反向漏电流(uA):4.7色坐标(x,y)0.5742,0.4161相关色温(K)1691色差-7.75E-004主波长(nm)592.9色纯度(%)91.2峰值波长(nm)716.0显色性指数86.9光通量(lm)7.66辐射通量(mW)0.05光效0.12
 记录条数:27 2017_06_05 11:18:11 598  bin号:5 晶号:0 电压(V):11.526 反向漏电流(uA):4.7色坐标(x,y)0.5742,0.4160相关色温(K)1690色差-7.61E-004主波长(nm)592.9色纯度(%)91.2峰值波长(nm)716.0显色性指数86.8光通量(lm)7.67辐射通量(mW)0.05光效0.12
 记录条数:28 2017_06_05 11:18:11 629  bin号:5 晶号:0 电压(V):11.523 反向漏电流(uA):4.7色坐标(x,y)0.5747,0.4162相关色温(K)1688色差8.49E-004主波长(nm)592.9色纯度(%)91.4峰值波长(nm)716.2显色性指数86.6光通量(lm)7.67辐射通量(mW)0.05光效0.12
 记录条数:29 2017_06_05 11:18:11 662  bin号:5 晶号:0 电压(V):11.525 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4160相关色温(K)1688色差-7.92E-004主波长(nm)593.0色纯度(%)91.3峰值波长(nm)716.3显色性指数86.7光通量(lm)7.67辐射通量(mW)0.05光效0.12
 记录条数:30 2017_06_05 11:18:11 692  bin号:5 晶号:0 电压(V):11.523 反向漏电流(uA):4.8色坐标(x,y)0.5743,0.4161相关色温(K)1689色差7.90E-004主波长(nm)592.9色纯度(%)91.3峰值波长(nm)716.4显色性指数86.8光通量(lm)7.66辐射通量(mW)0.05光效0.12
 记录条数:31 2017_06_05 11:18:11 723  bin号:5 晶号:0 电压(V):11.540 反向漏电流(uA):4.7色坐标(x,y)0.5744,0.4160相关色温(K)1688色差-7.60E-004主波长(nm)593.0色纯度(%)91.3峰值波长(nm)716.3显色性指数86.9光通量(lm)7.68辐射通量(mW)0.05光效0.12
 记录条数:32 2017_06_05 11: 记录条数:33 2017_06_05 11:18:11 786  bin号:5 晶号:0 电压(V):11.538 反向漏电流(uA):4.7色坐标(x,y)0.5743,0.4160相关色温(K)1689色差-7.52E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.3显色性指数86.9光通量(lm)7.69辐射通量(mW)0.05光效0.12
 记录条数:34 2017_06_05 11:18:11 817  bin号:5 晶号:0 电压(V):11.523 反向漏电流(uA):4.7色坐标(x,y)0.5742,0.4161相关色温(K)1690色差7.83E-004主波长(nm)592.9色纯度(%)91.2峰值波长(nm)716.3显色性指数86.7光通量(lm)7.68辐射通量(mW)0.05光效0.12
 记录条数:35 2017_06_05 11:18:11 848  bin号:5 晶号:0 电压(V):11.523 反向漏电流(uA):4.7色坐标(x,y)0.5742,0.4162相关色温(K)1691色差-7.86E-004主波长(nm)592.9色纯度(%)91.2峰值波长(nm)716.3显色性指数86.8光通量(lm)7.68辐射通量(mW)0.05光效0.12
 记录条数:36 2017_06_05 11:18:11 882  bin号:5 晶号:0 电压(V):11.534 反向漏电流(uA):4.8色坐标(x,y)0.5741,0.4162相关色温(K)1691色差7.89E-004主波长(nm)592.9色纯度(%)91.2峰值波长(nm)716.3显色性指数86.8光通量(lm)7.68辐射通量(mW)0.05光效0.12
 记录条数:37 2017_06_05 11:18:11 916  bin号:5 晶号:0 电压(V):11.521 反向漏电流(uA):4.8色坐标(x,y)0.5742,0.4161相关色温(K)1690色差7.68E-004主波长(nm)592.9色纯度(%)91.2峰值波长(nm)716.3显色性指数86.8光通量(lm)7.70辐射通量(mW)0.05光效0.12
 记录条数:38 2017_06_05 11:18:11 949  bin号:5 晶号:0 电压(V):11.530 反向漏电流(uA):4.7色坐标(x,y)0.5743,0.4160相关色温(K)1689色差7.49E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.3显色性指数86.9光通量(lm)7.72辐射通量(mW)0.05光效0.12
 记录条数:39 2017_06_05 11:18:11 979  bin号:5 晶号:0 电压(V):11.520 反向漏电流(uA):4.8色坐标(x,y)0.5744,0.4159相关色温(K)1688色差-7.46E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.3显色性指数87.0光通量(lm)7.72辐射通量(mW)0.05光效0.12
 记录条数:40 2017_06_05 11:18:12 009  bin号:5 晶号:0 电压(V):11.528 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4158相关色温(K)1687色差-7.30E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.3显色性指数87.0光通量(lm)7.73辐射通量(mW)0.05光效0.12
 记录条数:41 2017_06_05 11:18:12 038  bin号:5 晶号:0 电压(V):11.540 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4158相关色温(K)1686色差7.20E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.2显色性指数87.0光通量(lm)7.73辐射通量(mW)0.05光效0.12
 记录条数:42 2017_06_05 11:18:12 067  bin号:5 晶号:0 电压(V):11.527 反向漏电流(uA):4.7色坐标(x,y)0.5746,0.4157相关色温(K)1685色差7.03E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.1显色性指数87.0光通量(lm)7.74辐射通量(mW)0.05光效0.12
 记录条数:43 2017_06_05 11:18:12 100  bin号:5 晶号:0 电压(V):11.520 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4157相关色温(K)1686色差7.14E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm 记录条数:48 2017_06_05 11:18:12 261  bin号:5 晶号:0 电压(V):11.523 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4157相关色温(K)1686色差6.95E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.1显色性指数86.9光通量(lm)7.72辐射通量(mW)0.05光效0.12
 记录条数:49 2017_06_05 11:18:12 292  bin号:5 晶号:0 电压(V):11.527 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4157相关色温(K)1687色差-7.04E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.1显色性指数87.0光通量(lm)7.72辐射通量(mW)0.05光效0.12
 记录条数:50 2017_06_05 11:18:12 327  bin号:5 晶号:0 电压(V):11.527 反向漏电流(uA):4.7色坐标(x,y)0.5744,0.4158相关色温(K)1687色差-7.12E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.1显色性指数87.0光通量(lm)7.72辐射通量(mW)0.05光效0.12
 记录条数:51 2017_06_05 11:18:12 361  bin号:5 晶号:0 电压(V):11.528 反向漏电流(uA):4.8色坐标(x,y)0.5744,0.4158相关色温(K)1687色差7.18E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.1显色性指数87.0光通量(lm)7.72辐射通量(mW)0.05光效0.12
 记录条数:52 2017_06_05 11:18:12 422  bin号:5 晶号:0 电压(V):11.545 反向漏电流(uA):4.8色坐标(x,y)0.5744,0.4158相关色温(K)1687色差7.21E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.1显色性指数87.0光通量(lm)7.72辐射通量(mW)0.05光效0.12
 记录条数:53 2017_06_05 11:18:12 454  bin号:5 晶号:0 电压(V):11.526 反向漏电流(uA):4.7色坐标(x,y)0.5745,0.4158相关色温(K)1686色差7.21E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.1显色性指数86.9光通量(lm)7.72辐射通量(mW)0.05光效0.12
 记录条数:54 2017_06_05 11:18:12 483  bin号:5 晶号:0 电压(V):11.521 反向漏电流(uA):4.7色坐标(x,y)0.5745,0.4158相关色温(K)1686色差7.18E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.1显色性指数86.9光通量(lm)7.71辐射通量(mW)0.05光效0.12
 记录条数:55 2017_06_05 11:18:12 513  bin号:5 晶号:0 电压(V):11.526 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4158相关色温(K)1686色差7.21E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.1显色性指数86.9光通量(lm)7.72辐射通量(mW)0.05光效0.12
 记录条数:56 2017_06_05 11:18:12 542  bin号:5 晶号:0 电压(V):11.527 反向漏电流(uA):4.7色坐标(x,y)0.5747,0.4154相关色温(K)1683色差6.49E-004主波长(nm)593.1色纯度(%)91.2峰值波长(nm)716.1显色性指数89.0光通量(lm)7.66辐射通量(mW)0.05光效0.12
 记录条数:57 2017_06_05 11:18:12 573  bin号:5 晶号:0 电压(V):11.527 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4157相关色温(K)1686色差-7.06E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.2显色性指数87.1光通量(lm)7.71辐射通量(mW)0.05光效0.12
 记录条数:58 2017_06_05 11:18:12 606  bin号:5 晶号:0 电压(V):11.522 反向漏电流(uA):4.7色坐标(x,y)0.5745,0.4158相关色温(K)1687色差7.23E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm) 记录条数:63 2017_06_05 11:18:12 766  bin号:5 晶号:0 电压(V):11.527 反向漏电流(uA):4.7色坐标(x,y)0.5746,0.4157相关色温(K)1686色差-7.15E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.2显色性指数87.0光通量(lm)7.70辐射通量(mW)0.05光效0.12
 记录条数:64 2017_06_05 11:18:12 801  bin号:5 晶号:0 电压(V):11.524 反向漏电流(uA):4.8色坐标(x,y)0.5746,0.4158相关色温(K)1686色差7.20E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.2显色性指数87.0光通量(lm)7.70辐射通量(mW)0.05光效0.12
 记录条数:65 2017_06_05 11:18:12 834  bin号:5 晶号:0 电压(V):11.526 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4158相关色温(K)1687色差7.24E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.2显色性指数87.0光通量(lm)7.71辐射通量(mW)0.05光效0.12
 记录条数:66 2017_06_05 11:18:12 868  bin号:5 晶号:0 电压(V):11.535 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4158相关色温(K)1687色差-7.23E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.2显色性指数87.0光通量(lm)7.70辐射通量(mW)0.05光效0.12
 记录条数:67 2017_06_05 11:18:12 901  bin号:5 晶号:0 电压(V):11.527 反向漏电流(uA):4.8色坐标(x,y)0.5745,0.4159相关色温(K)1687色差7.40E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.2显色性指数87.1光通量(lm)7.69辐射通量(mW)0.05光效0.12
 记录条数:68 2017_06_05 11:18:12 934  bin号:5 晶号:0 电压(V):11.527 反向漏电流(uA):4.8色坐标(x,y)0.5744,0.4159相关色温(K)1688色差-7.57E-004主波长(nm)593.0色纯度(%)91.3峰值波长(nm)716.2显色性指数87.0光通量(lm)7.69辐射通量(mW)0.05光效0.12
 记录条数:69 2017_06_05 11:18:12 968  bin号:5 晶号:0 电压(V):11.530 反向漏电流(uA):4.7色坐标(x,y)0.5744,0.4160相关色温(K)1689色差-7.69E-004主波长(nm)593.0色纯度(%)91.3峰值波长(nm)716.2显色性指数86.9光通量(lm)7.69辐射通量(mW)0.05光效0.12
 记录条数:70 2017_06_05 11:18:12 999  bin号:5 晶号:0 电压(V):11.543 反向漏电流(uA):4.7色坐标(x,y)0.5744,0.4160相关色温(K)1688色差7.60E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.2显色性指数87.0光通量(lm)7.69辐射通量(mW)0.05光效0.12
 记录条数:71 2017_06_05 11:18:13 030  bin号:5 晶号:0 电压(V):11.527 反向漏电流(uA):4.8色坐标(x,y)0.5744,0.4159相关色温(K)1688色差7.56E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.2显色性指数87.0光通量(lm)7.69辐射通量(mW)0.05光效0.12
