记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_10_22_15:52:02_442 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
1 2017_10_22_15:52:03_277 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
2 2017_10_22_15:52:04_178 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
3 2017_10_22_15:52:17_340 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
4 2017_10_22_15:52:18_570 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
5 2017_10_22_15:52:29_742 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
6 2017_10_22_15:52:30_467 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
7 2017_10_22_15:52:31_119 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
8 2017_10_22_15:53:34_903 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
9 2017_10_22_15:53:35_927 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
10 2017_10_22_15:53:36_622 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
11 2017_10_22_15:53:37_464 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
12 2017_10_22_15:53:51_331 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
13 2017_10_22_15:53:52_903 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
14 2017_10_22_15:53:53_911 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
15 2017_10_22_15:53:55_041 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
16 2017_10_22_15:53:57_055 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
17 2017_10_22_15:54:00_154 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
18 2017_10_22_15:54:16_196 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
19 2017_10_22_15:54:17_188 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
20 2017_10_22_15:54:18_114 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
21 2017_10_22_15:54:19_076 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
22 2017_10_22_15:54:21_566 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
23 2017_10_22_15:54:23_502 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
24 2017_10_22_15:54:25_006 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
