记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_06_12 11:45:52 901 4 0 2.929 0.3 0.5563,0.4043 1742 -4.04E-003 594.0 82.3 772.9 96.0 20.94 0.33 23.39
1 2017_06_12 11:45:53 821 4 0 2.947 0.3 0.5596,0.4037 1716 -3.90E-003 594.2 83.1 771.9 95.8 20.38 0.32 21.85
2 2017_06_12 11:45:53 840 4 0 2.954 0.3 0.5583,0.4113 1767 -1.93E-003 592.9 85.0 775.0 97.6 15.70 0.22 15.03
3 2017_06_12 11:45:53 858 4 0 2.914 0.6 0.5547,0.4142 1809 -1.44E-003 592.3 84.8 775.0 99.5 15.41 0.21 8.80
4 2017_06_12 11:45:53 877 4 0 2.946 0.2 0.5525,0.4152 1830 -1.34E-003 592.0 84.5 775.1 97.5 14.23 0.18 24.87
5 2017_06_12 11:45:53 895 4 0 2.959 0.5 0.5536,0.4148 1820 -1.38E-003 592.1 84.7 769.2 98.8 14.32 0.18 8.46
6 2017_06_12 11:45:53 914 4 0 2.928 0.4 0.5563,0.4140 1796 -1.37E-003 592.4 85.2 769.3 99.4 13.79 0.17 12.09
7 2017_06_12 11:45:53 933 4 0 2.924 0.2 0.5561,0.4147 1802 -1.20E-003 592.3 85.4 769.2 99.8 13.60 0.16 28.63
8 2017_06_12 11:45:53 952 4 0 2.921 0.0 0.5562,0.4153 1805 -1.03E-003 592.2 85.6 769.3 99.9 13.48 0.16 425.90
9 2017_06_12 11:45:53 971 4 0 2.937 1.2 0.5565,0.4156 1804 -9.39E-004 592.2 85.7 769.2 99.9 13.44 0.16 3.58
10 2017_06_12 11:45:53 989 4 0 2.917 44.0 0.5573,0.4151 1796 9.88E-004 592.3 85.9 769.2 100.0 13.51 0.16 0.10
11 2017_06_12 11:45:54 008 4 0 2.936 5.2 0.5578,0.4153 1794 -8.97E-004 592.3 86.1 769.3 99.9 13.49 0.16 0.81
12 2017_06_12 11:45:54 027 4 0 2.932 0.2 0.5580,0.4155 1793 -8.45E-004 592.3 86.2 769.3 99.6 13.43 0.16 20.12
13 2017_06_12 11:45:54 046 4 0 2.935 0.6 0.5580,0.4153 1793 -8.81E-004 592.3 86.1 769.3 99.3 13.44 0.16 6.60
14 2017_06_12 11:45:54 065 4 0 2.924 15.0 0.5581,0.4154 1792 -8.40E-004 592.3 86.2 769.3 99.5 13.46 0.16 0.28
15 2017_06_12 11:45:54 084 4 0 2.932 14.6 0.5582,0.4152 1790 -8.91E-004 592.3 86.2 769.3 99.4 13.48 0.16 0.29
16 2017_06_12 11:45:54 110 4 0 2.918 5.0 0.5584,0.4152 1789 -8.70E-004 592.3 86.2 769.3 99.4 13.46 0.16 0.86
17 2017_06_12 11:45:54 128 4 0 2.930 0.3 0.5587,0.4151 1787 -8.80E-004 592.3 86.3 769.3 99.5 13.41 0.15 14.07
18 2017_06_12 11:45:54 147 4 0 2.912 0.3 0.5587,0.4150 1785 9.12E-004 592.4 86.3 769.3 99.7 13.43 0.16 15.76
19 2017_06_12 11:45:54 166 4 0 2.928 0.3 0.5588,0.4149 1784 -9.35E-004 592.4 86.2 769.3 99.6 13.45 0.16 13.24
20 2017_06_12 11:45:54 187 4 0 2.932 0.3 0.5586,0.4150 1787 -9.09E-004 592.3 86.3 769.3 99.5 13.43 0.16 15.65
21 2017_06_12 11:45:54 209 4 0 2.948 0.3 0.5588,0.4147 1783 -9.73E-004 592.4 86.2 769.3 99.7 13.35 0.16 15.46
22 2017_06_12 11:45:54 230 4 0 2.913 0.3 0.5584,0.4153 1789 -8.53E-004 592.3 86.3 769.4 99.2 13.43 0.16 16.36
23 2017_06_12 11:45:54 250 4 0 2.910 0.3 0.5586,0.4153 1788 -8.25E-004 592.3 86.3 769.4 99.3 13.41 0.16 15.18
24 2017_06_12 11:45:54 270 4 0 2.952 3.9 0.5586,0.4153 1789 -8.33E-004 592.3 86.3 769.4 99.3 13.42 0.16 1.08
25 2017_06_12 11:45:54 289 4 0 2.932 0.2 0.5588,0.4153 1787 -8.27E-004 592.3 86.4 769.4 99.3 13.39 0.16 17.55
26 2017_06_12 11:45:54 308 4 0 2.927 0.3 0.5588,0.4154 1788 -7.97E-004 592.3 86.4 769.4 99.1 13.35 0.15 16.82
27 2017_06_12 11:45:54 326 4 0 2.921 0.3 0.5589,0.4153 1787 -8.08E-004 592.3 86.4 769.4 99.2 13.32 0.15 16.17
