记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_06_12 15:05:02 240 7 0 0.968 44.0 0.5563,0.4179 1819 -3.06E-004 591.8 86.4 730.2 87.2 13.46 0.10 0.29
1 2017_06_12 15:05:03 161 7 0 0.980 44.0 0.5575,0.4171 1806 -4.42E-004 592.0 86.5 726.0 86.7 13.54 0.10 0.29
2 2017_06_12 15:05:03 181 7 0 0.991 44.0 0.5563,0.4180 1819 3.02E-004 591.8 86.4 730.2 87.1 13.46 0.10 0.28
3 2017_06_12 15:05:03 200 7 0 0.989 44.0 0.5561,0.4178 1819 3.65E-004 591.8 86.3 730.2 87.1 13.49 0.10 0.28
4 2017_06_12 15:05:03 219 7 0 0.998 44.0 0.5566,0.4179 1817 -3.07E-004 591.8 86.5 730.2 87.1 13.47 0.10 0.28
5 2017_06_12 15:05:03 238 7 0 0.989 44.0 0.5567,0.4178 1815 3.27E-004 591.8 86.5 730.2 87.0 13.48 0.10 0.28
6 2017_06_12 15:05:03 257 7 0 0.990 44.0 0.5566,0.4178 1816 -3.26E-004 591.8 86.5 730.2 87.0 13.48 0.10 0.28
7 2017_06_12 15:05:03 275 7 0 0.989 44.0 0.5565,0.4178 1817 -3.16E-004 591.8 86.5 730.2 87.1 13.47 0.10 0.28
8 2017_06_12 15:05:03 294 7 0 0.992 44.0 0.5564,0.4179 1818 3.12E-004 591.8 86.4 730.2 87.1 13.47 0.10 0.28
9 2017_06_12 15:05:03 312 7 0 0.993 44.0 0.5564,0.4179 1818 -3.19E-004 591.8 86.4 730.2 87.1 13.47 0.10 0.28
10 2017_06_12 15:05:03 331 7 0 0.992 44.0 0.5564,0.4179 1818 -3.22E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.28
11 2017_06_12 15:05:03 349 7 0 0.992 44.0 0.5564,0.4179 1818 -3.23E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.28
12 2017_06_12 15:05:03 367 7 0 0.990 44.0 0.5564,0.4178 1818 -3.25E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.28
13 2017_06_12 15:05:03 386 7 0 0.984 44.0 0.5564,0.4178 1818 -3.28E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.29
14 2017_06_12 15:05:03 405 7 0 0.991 44.0 0.5564,0.4178 1818 -3.29E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.28
15 2017_06_12 15:05:03 425 7 0 0.993 44.0 0.5564,0.4178 1818 -3.28E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.28
16 2017_06_12 15:05:03 443 7 0 0.992 44.0 0.5564,0.4178 1818 -3.26E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.28
17 2017_06_12 15:05:03 461 8 0 1.010 44.0 0.5564,0.4179 1818 3.23E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.28
18 2017_06_12 15:05:03 481 255 0 25.323 44.0 0.5563,0.4179 1818 3.26E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.01
19 2017_06_12 15:05:03 499 7 0 0.991 44.0 0.5563,0.4179 1818 3.26E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.28
20 2017_06_12 15:05:03 518 8 0 1.000 44.0 0.5563,0.4179 1818 3.27E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.28
21 2017_06_12 15:05:03 536 7 0 0.990 44.0 0.5563,0.4179 1818 3.29E-004 591.8 86.4 730.2 87.1 13.48 0.10 0.28
22 2017_06_12 15:05:03 554 7 0 0.994 44.0 0.5564,0.4178 1818 -3.29E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
23 2017_06_12 15:05:03 574 7 0 0.992 44.0 0.5564,0.4178 1818 -3.31E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
24 2017_06_12 15:05:03 593 7 0 0.991 44.0 0.5564,0.4178 1818 -3.32E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
25 2017_06_12 15:05:03 613 7 0 0.996 44.0 0.5564,0.4178 1818 -3.32E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
26 2017_06_12 15:05:03 632 7 0 0.987 44.0 0.5563,0.4178 1818 -3.33E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
27 2017_06_12 15:05:03 653 7 0 0.995 44.0 0.5563,0.4178 1818 3.32E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
28 2017_06_12 15:05:03 673 7 0 0.993 44.0 0.5563,0.4178 1818 3.32E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
29 2017_06_12 15:05:03 692 8 0 1.009 44.0 0.5563,0.4178 1818 3.32E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
30 2017_06_12 15:05:03 720 8 0 1.017 44.0 0.5563,0.4178 1818 3.31E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
31 2017_06_12 15:05:03 743 7 0 0.991 44.0 0.5563,0.4179 1818 3.31E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
32 2017_06_12 15:05:03 766 7 0 0.992 44.0 0.5563,0.4179 1818 3.30E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
33 2017_06_12 15:05:03 789 7 0 0.994 44.0 0.5564,0.4178 1818 -3.34E-004 591.8 86.4 673.2 87.1 13.49 0.10 0.28
34 2017_06_12 15:05:03 813 7 0 0.993 44.0 0.5563,0.4179 1819 -3.30E-004 591.8 86.4 730.2 87.2 13.49 0.10 0.28
35 2017_06_12 15:05:03 835 8 0 1.003 44.0 0.5563,0.4179 1819 -3.29E-004 591.8 86.4 730.2 87.2 13.49 0.10 0.28
36 2017_06_12 15:05:03 859 7 0 0.983 44.0 0.5563,0.4179 1818 3.29E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.29
37 2017_06_12 15:05:03 882 7 0 0.993 44.0 0.5563,0.4179 1818 3.31E-004 591.8 86.4 730.2 87.1 13.49 0.10 0.28
38 2017_06_12 15:05:03 906 7 0 0.991 44.0 0.5563,0.4179 1818 3.30E-004 591.8 86.4 730.2 87.1 13.50 0.10 0.28
39 2017_06_12 15:05:03 929 7 0 0.980 44.0 0.5562,0.4178 1818 3.62E-004 591.8 86.4 730.2 87.1 13.44 0.10 0.29
40 2017_06_12 15:05:03 953 7 0 0.997 44.0 0.5563,0.4178 1818 3.47E-004 591.8 86.4 730.2 87.1 13.46 0.10 0.28
41 2017_06_12 15:05:03 978 7 0 0.993 44.0 0.5563,0.4178 1819 -3.39E-004 591.8 86.4 730.2 87.2 13.48 0.10 0.28
42 2017_06_12 15:05:04 001 7 0 0.985 44.0 0.5563,0.4179 1819 -3.31E-004 591.8 86.4 730.2 87.2 13.49 0.10 0.29
43 2017_06_12 15:05:04 025 7 0 0.999 44.0 0.5563,0.4179 1819 -3.29E-004 591.8 86.4 730.2 87.2 13.49 0.10 0.28
44 2017_06_12 15:05:04 049 7 0 0.996 44.0 0.5563,0.4179 1819 -3.29E-004 591.8 86.4 730.2 87.2 13.49 0.10 0.28
45 2017_06_12 15:05:04 070 7 0 0.993 44.0 0.5556,0.4185 1827 -2.17E-004 591.7 86.4 730.2 87.4 13.53 0.10 0.28
46 2017_06_12 15:05:04 091 7 0 0.997 44.0 0.5558,0.4183 1824 -2.52E-004 591.7 86.4 730.2 87.3 13.52 0.10 0.28
47 2017_06_12 15:05:04 112 255 0 25.323 44.0 0.5560,0.4181 1822 -2.80E-004 591.7 86.4 730.2 87.3 13.51 0.10 0.01
48 2017_06_12 15:05:04 129 7 0 0.994 44.0 0.5561,0.4180 1821 -2.96E-004 591.8 86.4 730.2 87.2 13.50 0.10 0.28
49 2017_06_12 15:05:04 149 7 0 0.980 44.0 0.5561,0.4180 1821 -2.99E-004 591.8 86.4 730.2 87.3 13.50 0.10 0.29
50 2017_06_12 15:05:04 168 7 0 0.967 44.0 0.5561,0.4180 1820 3.05E-004 591.8 86.4 730.2 87.2 13.50 0.10 0.29
51 2017_06_12 15:05:04 188 7 0 0.999 44.0 0.5562,0.4180 1820 3.04E-004 591.8 86.4 730.2 87.2 13.50 0.10 0.28
52 2017_06_12 15:05:04 208 8 0 1.014 44.0 0.5561,0.4180 1821 -3.02E-004 591.8 86.4 730.2 87.2 13.50 0.10 0.28
53 2017_06_12 15:05:04 232 7 0 0.996 44.0 0.5562,0.4180 1820 3.04E-004 591.8 86.4 730.2 87.2 13.50 0.10 0.28
54 2017_06_12 15:05:04 252 8 0 1.000 44.0 0.5562,0.4180 1820 3.04E-004 591.8 86.4 730.2 87.2 13.50 0.10 0.28
