 记录条数:23 2017_06_05 11:48:21 629  bin号:5 晶号:0 电压(V):11.626 反向漏电流(uA):0.7色坐标(x,y)0.5750,0.4092相关色温(K)1649色差-9.17E-004主波长(nm)594.0色纯度(%)89.4峰值波长(nm)753.3显色性指数94.3光通量(lm)9.70辐射通量(mW)0.10光效1.10
 记录条数:24 2017_06_05 11:48:21 649  bin号:5 晶号:0 电压(V):11.622 反向漏电流(uA):0.7色坐标(x,y)0.5748,0.4093相关色温(K)1650色差9.13E-004主波长(nm)594.0色纯度(%)89.4峰值波长(nm)753.4显色性指数94.2光通量(lm)9.67辐射通量(mW)0.10光效1.10
 记录条数:25 2017_06_05 11:48:21 668  bin号:5 晶号:0 电压(V):11.617 反向漏电流(uA):0.6色坐标(x,y)0.5748 记录条数:26 2017_06_05 11:48:21 685  bin号:5 晶号:0 电压(V):11.634 反向漏电流(uA):0.7色坐标(x,y)0.5748,0.4094相关色温(K)1651色差-8.80E-004主波长(nm)594.0色纯度(%)89.4峰值波长(nm)753.6显色性指数94.2光通量(lm)9.63辐射通量(mW)0.10光效1.14
 记录条数:27 2017_06_05 11:48:21 704  bin号:5 晶号:0 电压(V):11.613 反向漏电流(uA):0.6色坐标(x,y)0.5745,0.4099相关色温(K)1655色差7.86E-004主波长(nm)593.9色纯度(%)89.5峰值波长(nm)753.6显色性指数91.5光通量(lm)9.70辐射通量(mW)0.10光效1.17
 记录条数:28 2017_06_05 11:48:21 723  bin号:5 晶号:0 电压(V):11.641 反向漏电流(uA):0.7色坐标(x,y)0.5749,0.4093相关色温(K)1650色差-8.93E-004主波长(nm)594.0色纯度(%)89.4峰值波长(nm)753.6显色性指数94.6光通量(lm)9.62辐射通量(mW)0.10光效1.14
 记录条数:29 2017_06_05 11:48:21 742  bin号:5 晶号:0 电压(V):11.617 反向漏电流(uA):0.6色坐标(x,y)0.5750,0.4092相关色温(K)1649色差-9.05E-004主波长(nm)594.0色纯度(%)89.4峰值波长(nm)753.5显色性指数94.4光通量(lm)9.60辐射通量(mW)0.10光效1.21
 记录条数:30 2017_06_05 11:48:21 761  bin号:5 晶号:0 电压(V):11.604 反向漏电流(uA):0.6色坐标(x,y)0.5749,0.4093相关色温(K)1650色差-8.96E-004主波长(nm)594.0色纯度(%)89.4峰值波长(nm)753.5显色性指数94.3光通量(lm)9.59辐射通量(mW)0.10光效1.17
 记录条数:31 2017_06_05 11:48:21 779  bin号:5 晶号:0 电压(V):11.628 反向漏电流(uA):0.6色坐标(x,y)0.5749,0.4093相关色温(K)1650色差-8.98E-004主波长(nm)594.0色纯度(%)89.4峰值波长(nm)753.6显色性指数94.5光通量(lm)9.56辐射通量(mW)0.10光效1.27
 记录条数:32 2017_06_05 11:48:21 799  bin号:5 晶号:0 电压(V):11.624 反向漏电流(uA):0.6色坐标(x,y)0.5749,0.4094相关色温(K)1650色差8.85E-004主波长(nm)594.0色纯度(%)89.4峰值波长(nm)753.7显色性指数94.6光通量(lm)9.54辐射通量(mW)0.10光效1.22
 记录条数:33 2017_06_05 11:48:21 816  bin号:5 晶号:0 电压(V):11.637 反向漏电流(uA):0.7色坐标(x,y)0.5749,0.4094相关色温(K)1650色差8.68E-004主波长(nm)594.0色纯度(%)89.5峰值波长(nm)753.7显色性指数94.8光通量(lm)9.51辐射通量(mW)0.10光效1.12
