记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_10_22_16:29:08_929 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
1 2017_10_22_16:29:09_631 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
2 2017_10_22_16:29:10_236 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
3 2017_10_22_16:29:10_655 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
4 2017_10_22_16:29:11_070 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
5 2017_10_22_16:29:11_508 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
6 2017_10_22_16:29:11_879 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
7 2017_10_22_16:29:12_295 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
8 2017_10_22_16:29:12_710 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
9 2017_10_22_16:29:13_180 255 0 6.787 0.1 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
