记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_08_23_21:09:47_063 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
1 2017_08_23_21:09:47_256 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
2 2017_08_23_21:09:47_417 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
3 2017_08_23_21:09:47_578 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
4 2017_08_23_21:09:47_740 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
5 2017_08_23_21:09:47_900 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
6 2017_08_23_21:09:48_061 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
7 2017_08_23_21:09:48_222 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
8 2017_08_23_21:09:48_384 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
9 2017_08_23_21:09:48_545 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
10 2017_08_23_21:09:48_707 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
11 2017_08_23_21:09:48_873 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
12 2017_08_23_21:09:49_036 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
13 2017_08_23_21:09:49_196 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
14 2017_08_23_21:09:49_358 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
15 2017_08_23_21:09:49_522 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
16 2017_08_23_21:09:49_683 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
17 2017_08_23_21:09:49_842 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
18 2017_08_23_21:09:50_005 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
19 2017_08_23_21:09:50_166 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
20 2017_08_23_21:09:50_327 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
21 2017_08_23_21:09:50_489 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
22 2017_08_23_21:09:50_650 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
23 2017_08_23_21:09:50_810 255 0 0.000 0.0 -0.0063,-0.0041 0 0.00E+000 -0.9 0.0 379.8 -0.9 -0.43 0.00 0.00
