记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
1125 2017_06_08 15:58:08 193 4 0 2.922 0.3 0.4579,0.3897 2620 -1.09E-002 590.2 48.4 612.9 76.1 28.36 0.00 32.18
1126 2017_06_08 15:58:08 218 4 0 2.904 0.3 0.4579,0.3897 2620 -1.09E-002 590.2 48.4 612.9 76.1 28.37 0.00 34.78
1127 2017_06_08 15:58:08 241 4 0 2.906 0.2 0.4579,0.3897 2620 -1.09E-002 590.2 48.4 612.9 76.1 28.37 0.00 55.22
1128 2017_06_08 15:58:08 265 4 0 2.915 0.2 0.4580,0.3897 2619 -1.09E-002 590.2 48.4 613.0 76.1 28.38 0.00 62.41
1129 2017_06_08 15:58:08 289 4 0 2.913 0.2 0.4580,0.3897 2619 -1.09E-002 590.2 48.4 613.0 76.1 28.39 0.00 46.84
1130 2017_06_08 15:58:08 312 4 0 2.925 0.3 0.4581,0.3898 2618 -1.09E-002 590.2 48.4 613.0 76.1 28.39 0.00 31.11
1131 2017_06_08 15:58:08 338 4 0 2.905 0.3 0.4581,0.3898 2618 -1.09E-002 590.2 48.4 612.9 76.1 28.39 0.00 31.32
0 2017_06_08 15:58:08 363 4 0 2.920 0.1 0.4583,0.3899 2616 -1.08E-002 590.1 48.6 612.9 76.1 28.40 0.00 71.94
1 2017_06_08 15:58:08 387 4 0 2.910 0.2 0.4581,0.3897 2617 -1.09E-002 590.2 48.4 612.9 76.1 28.40 0.00 58.64
2 2017_06_08 15:58:08 410 4 0 2.912 0.3 0.4581,0.3898 2617 -1.09E-002 590.2 48.5 612.9 76.1 28.40 0.00 36.07
3 2017_06_08 15:58:08 433 4 0 2.910 0.3 0.4582,0.3898 2616 -1.09E-002 590.2 48.5 612.9 76.1 28.41 0.00 31.28
4 2017_06_08 15:58:08 457 4 0 2.917 0.3 0.4585,0.3901 2615 -1.08E-002 590.1 48.7 612.9 76.0 28.41 0.00 32.28
5 2017_06_08 15:58:08 482 4 0 2.924 0.2 0.4583,0.3899 2615 -1.09E-002 590.1 48.6 612.9 76.0 28.40 0.00 58.37
6 2017_06_08 15:58:08 505 4 0 2.905 0.1 0.4584,0.3899 2615 -1.09E-002 590.1 48.6 612.9 76.0 28.41 0.00 72.32
7 2017_06_08 15:58:08 528 4 0 2.911 0.2 0.4584,0.3899 2615 -1.09E-002 590.1 48.6 612.9 76.0 28.41 0.00 46.91
8 2017_06_08 15:58:08 553 4 0 2.914 0.3 0.4582,0.3898 2616 -1.09E-002 590.2 48.5 612.9 76.0 28.41 0.00 30.24
9 2017_06_08 15:58:08 577 4 0 2.916 0.3 0.4583,0.3898 2615 -1.09E-002 590.2 48.5 612.9 76.1 28.42 0.00 33.47
10 2017_06_08 15:58:08 600 4 0 2.913 0.2 0.4584,0.3899 2614 -1.09E-002 590.2 48.6 613.0 76.0 28.42 0.00 49.37
11 2017_06_08 15:58:08 625 4 0 2.907 0.2 0.4584,0.3899 2614 -1.09E-002 590.2 48.6 613.0 76.1 28.42 0.00 58.77
12 2017_06_08 15:58:08 648 4 0 2.904 0.2 0.4584,0.3899 2614 -1.09E-002 590.2 48.6 613.0 76.1 28.42 0.00 42.78
13 2017_06_08 15:58:08 673 4 0 2.907 0.3 0.4585,0.3899 2613 -1.09E-002 590.2 48.6 613.0 76.0 28.43 0.00 30.33
14 2017_06_08 15:58:08 696 4 0 2.912 0.3 0.4585,0.3899 2613 -1.09E-002 590.2 48.6 613.0 76.0 28.43 0.00 29.34
15 2017_06_08 15:58:08 719 4 0 2.910 0.2 0.4585,0.3899 2612 -1.09E-002 590.2 48.6 613.0 76.1 28.44 0.00 42.72
16 2017_06_08 15:58:08 744 4 0 2.922 0.1 0.4588,0.3902 2611 -1.08E-002 590.1 48.8 613.0 76.0 28.44 0.00 66.85
17 2017_06_08 15:58:08 768 4 0 2.906 0.2 0.4585,0.3899 2612 -1.09E-002 590.2 48.6 613.0 76.1 28.44 0.00 49.54
18 2017_06_08 15:58:08 791 4 0 2.911 0.3 0.4584,0.3898 2613 -1.09E-002 590.2 48.6 613.0 76.0 28.45 0.00 32.40
19 2017_06_08 15:58:08 814 4 0 2.907 0.3 0.4587,0.3900 2611 -1.08E-002 590.2 48.7 613.0 76.1 28.45 0.00 28.51
20 2017_06_08 15:58:08 838 4 0 2.915 0.3 0.4595,0.3899 2599 -1.09E-002 590.3 48.9 601.7 75.8 28.56 0.00 36.24
21 2017_06_08 15:58:08 862 4 0 2.920 0.1 0.4593,0.3902 2604 -1.08E-002 590.2 48.9 601.7 75.9 28.58 0.00 72.41
22 2017_06_08 15:58:08 885 4 0 2.918 0.2 0.4594,0.3903 2603 -1.08E-002 590.2 49.0 600.1 75.9 28.50 0.00 58.71
23 2017_06_08 15:58:08 910 4 0 2.904 0.2 0.4592,0.3903 2606 -1.08E-002 590.1 49.0 600.1 76.0 28.57 0.00 39.41
24 2017_06_08 15:58:08 934 4 0 2.912 0.3 0.4594,0.3905 2604 -1.07E-002 590.1 49.0 600.1 76.0 28.55 0.00 29.47
25 2017_06_08 15:58:08 960 4 0 2.910 0.2 0.4595,0.3906 2603 -1.07E-002 590.1 49.1 600.0 76.0 28.55 0.00 39.32
26 2017_06_08 15:58:08 985 4 0 2.915 0.1 0.4593,0.3902 2604 -1.08E-002 590.2 48.9 600.0 76.0 28.56 0.00 67.29
27 2017_06_08 15:58:09 009 4 0 2.923 0.2 0.4594,0.3903 2604 -1.08E-002 590.1 49.0 613.0 76.0 28.55 0.00 39.14
