200:	302
210:	250
220:	211
230:	181
240:	151
250:	124
260:	103
270:	88.2
280:	78.5
290:	70.3
300:	63.5
310:	57.3
320:	51.9
330:	46.2
340:	41.7
350:	37.1
360:	32.9
370:	29.6
380:	27.7
