记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_08_17_17:07:15_017 255 0 2.663 1.7 0.4802,0.3966 2336 -6.04E-003 588.4 63.2 763.3 96.3 187.47 1.67 40.69
1 2017_08_17_17:07:15_980 255 0 2.663 1.0 0.4805,0.3965 2331 -6.11E-003 588.5 63.2 763.3 95.9 187.23 1.68 73.24
2 2017_08_17_17:07:16_905 255 0 2.660 0.5 0.4804,0.3966 2334 -6.05E-003 588.4 63.2 763.3 96.0 186.78 1.67 149.40
3 2017_08_17_17:07:17_549 255 0 2.663 0.4 0.4803,0.3965 2334 -6.10E-003 588.5 63.2 763.3 96.1 187.42 1.68 159.96
4 2017_08_17_17:07:18_017 255 0 2.663 1.0 0.4803,0.3965 2333 -6.10E-003 588.5 63.2 763.3 96.1 186.44 1.67 67.32
5 2017_08_17_17:07:18_465 255 0 2.662 0.5 0.4801,0.3963 2335 -6.15E-003 588.5 63.0 763.3 96.0 186.90 1.67 143.29
6 2017_08_17_17:07:18_688 255 0 2.664 0.3 0.4806,0.3964 2329 -6.13E-003 588.5 63.2 763.3 96.0 187.01 1.67 219.37
7 2017_08_17_17:07:19_104 255 0 2.664 0.5 0.4804,0.3964 2331 -6.14E-003 588.5 63.2 763.2 96.2 187.29 1.68 135.20
8 2017_08_17_17:07:19_308 255 0 2.663 0.6 0.4804,0.3965 2332 -6.11E-003 588.5 63.2 763.3 96.2 187.58 1.68 119.39
9 2017_08_17_17:07:19_475 255 0 2.665 0.7 0.4803,0.3966 2334 -6.07E-003 588.5 63.2 763.3 96.1 187.54 1.68 108.26
10 2017_08_17_17:07:19_672 255 0 2.661 0.1 0.4803,0.3966 2335 -6.06E-003 588.4 63.2 763.3 96.1 187.10 1.67 585.94
11 2017_08_17_17:07:19_845 255 0 2.661 0.5 0.4801,0.3967 2337 -6.03E-003 588.4 63.1 763.3 96.2 186.32 1.66 137.30
12 2017_08_17_17:07:20_003 255 0 2.663 0.6 0.4803,0.3965 2333 -6.10E-003 588.5 63.2 763.3 96.1 187.03 1.67 123.21
