记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_08_17_17:43:32_280 255 0 2.673 0.5 0.4902,0.4281 2449 4.32E-003 584.4 75.7 652.0 81.0 90.68 0.38 66.52
1 2017_08_17_17:43:32_323 255 0 2.673 0.6 0.4908,0.4288 2448 4.53E-003 584.3 76.0 649.6 80.6 90.14 0.37 52.69
2 2017_08_17_17:43:32_361 255 0 2.671 0.4 0.4902,0.4281 2450 4.35E-003 584.3 75.7 652.2 81.3 91.00 0.38 83.10
3 2017_08_17_17:43:32_399 255 0 2.672 0.5 0.4904,0.4279 2446 4.25E-003 584.4 75.7 649.7 80.8 90.89 0.38 64.18
4 2017_08_17_17:43:32_437 255 0 2.670 0.6 0.4905,0.4290 2453 4.62E-003 584.2 76.0 652.4 80.4 89.19 0.37 57.59
5 2017_08_17_17:43:32_475 255 0 2.672 1.3 0.4901,0.4285 2453 4.47E-003 584.3 75.8 656.6 80.2 89.67 0.37 26.63
6 2017_08_17_17:43:32_513 255 0 2.675 1.6 0.4905,0.4283 2448 4.40E-003 584.3 75.8 652.6 80.5 90.12 0.38 21.19
7 2017_08_17_17:43:32_551 255 0 2.671 0.7 0.4903,0.4280 2448 4.28E-003 584.4 75.6 649.3 81.0 90.45 0.38 49.08
8 2017_08_17_17:43:32_589 255 0 2.673 0.6 0.4905,0.4285 2449 4.46E-003 584.3 75.9 651.8 80.9 90.43 0.38 54.57
9 2017_08_17_17:43:32_627 255 0 2.672 0.5 0.4905,0.4282 2447 4.35E-003 584.4 75.8 652.2 81.0 90.36 0.38 66.31
10 2017_08_17_17:43:32_665 255 0 2.674 0.2 0.4907,0.4282 2444 4.35E-003 584.4 75.9 652.2 80.9 90.06 0.38 177.26
11 2017_08_17_17:43:32_703 255 0 2.672 0.7 0.4900,0.4282 2453 4.36E-003 584.3 75.6 652.5 80.8 90.75 0.39 52.25
12 2017_08_17_17:43:32_740 255 0 2.672 0.5 0.4901,0.4279 2449 4.27E-003 584.4 75.6 652.1 81.1 90.90 0.39 69.43
13 2017_08_17_17:43:32_778 255 0 2.672 0.5 0.4900,0.4284 2454 4.44E-003 584.3 75.7 652.3 80.6 90.50 0.38 66.41
14 2017_08_17_17:43:32_816 255 0 2.674 0.8 0.4900,0.4283 2453 4.41E-003 584.3 75.7 649.2 81.2 90.48 0.38 42.30
15 2017_08_17_17:43:32_854 255 0 2.672 1.5 0.4908,0.4283 2444 4.36E-003 584.4 75.9 649.2 80.9 90.04 0.38 22.77
16 2017_08_17_17:43:32_893 255 0 2.672 1.7 0.4905,0.4281 2446 4.31E-003 584.4 75.8 652.1 80.9 89.92 0.38 19.57
17 2017_08_17_17:43:32_931 255 0 2.675 0.7 0.4910,0.4288 2445 4.53E-003 584.3 76.1 652.4 80.1 89.65 0.37 48.57
18 2017_08_17_17:43:32_969 255 0 2.674 0.6 0.4903,0.4287 2452 4.51E-003 584.3 75.9 652.3 80.7 90.61 0.38 53.79
19 2017_08_17_17:43:33_007 255 0 2.670 0.6 0.4903,0.4288 2453 4.54E-003 584.3 75.9 652.0 80.5 90.19 0.38 60.32
20 2017_08_17_17:43:33_045 255 0 2.672 0.1 0.4908,0.4277 2440 4.19E-003 584.4 75.8 647.7 80.6 90.55 0.38 260.68
21 2017_08_17_17:43:33_083 255 0 2.672 0.6 0.4904,0.4283 2449 4.38E-003 584.3 75.8 655.4 80.5 90.03 0.37 55.23
22 2017_08_17_17:43:33_121 255 0 2.675 0.3 0.4906,0.4285 2448 4.45E-003 584.3 75.9 649.6 80.9 89.73 0.37 134.17
23 2017_08_17_17:43:33_158 255 0 2.670 0.5 0.4901,0.4275 2447 4.15E-003 584.4 75.5 652.0 81.2 90.58 0.38 67.85
24 2017_08_17_17:43:33_195 255 0 2.673 1.1 0.4908,0.4283 2445 4.38E-003 584.4 75.9 649.7 80.5 90.03 0.38 30.34
25 2017_08_17_17:43:33_232 255 0 2.670 1.8 0.4900,0.4284 2454 4.44E-003 584.3 75.7 652.6 80.6 90.48 0.38 19.25
26 2017_08_17_17:43:33_271 255 0 2.673 0.7 0.4901,0.4282 2451 4.36E-003 584.3 75.7 656.7 80.8 90.14 0.38 48.17
27 2017_08_17_17:43:33_309 255 0 2.672 0.6 0.4902,0.4280 2448 4.29E-003 584.4 75.7 652.1 81.0 90.70 0.38 53.88
28 2017_08_17_17:43:33_347 255 0 2.674 0.6 0.4900,0.4280 2451 4.30E-003 584.3 75.6 652.1 80.6 90.32 0.38 60.32
29 2017_08_17_17:43:33_385 255 0 2.671 0.1 0.4906,0.4281 2445 4.31E-003 584.4 75.8 649.4 81.1 90.14 0.38 306.79
30 2017_08_17_17:43:33_422 255 0 2.674 0.4 0.4901,0.4278 2448 4.24E-003 584.4 75.6 652.0 81.0 89.91 0.38 96.07
31 2017_08_17_17:43:33_460 255 0 2.673 0.5 0.4908,0.4283 2445 4.37E-003 584.4 75.9 656.7 81.1 90.52 0.38 70.55
32 2017_08_17_17:43:33_497 255 0 2.670 0.6 0.4900,0.4279 2451 4.28E-003 584.4 75.6 656.6 80.8 90.54 0.38 61.65
33 2017_08_17_17:43:33_535 255 0 2.673 1.1 0.4907,0.4283 2446 4.39E-003 584.4 75.9 652.1 80.8 90.08 0.38 30.36
34 2017_08_17_17:43:33_573 255 0 2.674 1.6 0.4906,0.4282 2446 4.36E-003 584.4 75.8 652.5 81.2 90.16 0.38 20.56
35 2017_08_17_17:43:33_611 255 0 2.674 1.3 0.4908,0.4277 2440 4.19E-003 584.4 75.7 652.2 81.0 90.44 0.38 25.62
36 2017_08_17_17:43:33_650 255 0 2.673 0.7 0.4904,0.4283 2449 4.38E-003 584.3 75.8 652.1 81.0 89.49 0.37 50.72
37 2017_08_17_17:43:33_687 255 0 2.673 0.6 0.4903,0.4287 2453 4.52E-003 584.3 75.9 651.9 80.7 89.45 0.37 57.69
38 2017_08_17_17:43:33_724 255 0 2.671 0.4 0.4905,0.4285 2449 4.44E-003 584.3 75.9 649.7 81.0 90.07 0.37 84.30
