记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
40 2017_08_17_17:48:50_833 255 0 2.672 0.6 0.4911,0.4276 2436 4.13E-003 584.5 75.8 654.5 81.4 91.11 0.39 61.99
41 2017_08_17_17:48:50_870 255 0 2.671 0.8 0.4906,0.4276 2442 4.15E-003 584.4 75.6 651.7 81.0 90.88 0.39 45.37
42 2017_08_17_17:48:50_907 255 0 2.672 1.7 0.4902,0.4275 2445 4.14E-003 584.4 75.5 649.4 81.5 90.84 0.39 20.36
43 2017_08_17_17:48:50_945 255 0 2.670 1.3 0.4903,0.4274 2444 4.11E-003 584.4 75.5 652.1 82.0 91.05 0.39 26.64
44 2017_08_17_17:48:50_983 255 0 2.670 0.7 0.4900,0.4279 2450 4.28E-003 584.4 75.6 648.7 81.2 90.64 0.38 50.67
45 2017_08_17_17:48:51_021 255 0 2.670 0.7 0.4909,0.4278 2439 4.19E-003 584.4 75.8 652.3 80.9 90.45 0.38 52.12
46 2017_08_17_17:48:53_141 255 0 2.673 0.6 0.4902,0.4277 2447 4.19E-003 584.4 75.5 652.1 81.1 90.78 0.38 54.78
47 2017_08_17_17:48:53_179 255 0 2.673 0.6 0.4904,0.4275 2443 4.14E-003 584.4 75.6 652.6 81.2 91.01 0.39 61.90
48 2017_08_17_17:48:53_217 255 0 2.673 0.2 0.4906,0.4276 2441 4.14E-003 584.4 75.6 649.1 81.1 90.97 0.38 226.87
49 2017_08_17_17:48:53_254 255 0 2.672 0.3 0.4903,0.4284 2450 4.41E-003 584.3 75.8 649.1 81.2 90.68 0.38 117.03
50 2017_08_17_17:48:53_291 255 0 2.674 0.5 0.4902,0.4275 2446 4.12E-003 584.4 75.5 652.5 81.5 91.31 0.39 64.43
51 2017_08_17_17:48:53_328 255 0 2.672 0.8 0.4905,0.4275 2442 4.12E-003 584.4 75.6 651.9 80.9 90.32 0.38 40.72
52 2017_08_17_17:48:53_367 255 0 2.673 1.5 0.4900,0.4279 2450 4.26E-003 584.4 75.5 652.1 81.4 90.90 0.39 23.13
53 2017_08_17_17:48:53_404 255 0 2.672 1.1 0.4904,0.4281 2448 4.32E-003 584.4 75.7 652.5 81.0 91.30 0.39 29.97
54 2017_08_17_17:48:53_441 255 0 2.673 0.6 0.4903,0.4275 2444 4.13E-003 584.4 75.5 649.3 81.2 90.92 0.39 54.86
55 2017_08_17_17:48:53_478 255 0 2.674 0.2 0.4909,0.4279 2440 4.23E-003 584.4 75.8 656.4 80.7 90.65 0.38 178.42
56 2017_08_17_17:48:53_517 255 0 2.672 0.4 0.4905,0.4276 2443 4.15E-003 584.4 75.6 652.1 81.4 90.54 0.38 84.72
57 2017_08_17_17:48:53_555 255 0 2.672 0.6 0.4903,0.4278 2446 4.22E-003 584.4 75.6 648.7 80.8 90.51 0.38 53.77
58 2017_08_17_17:48:53_593 255 0 2.672 0.3 0.4903,0.4278 2446 4.23E-003 584.4 75.6 649.6 81.1 90.58 0.38 121.06
59 2017_08_17_17:48:53_631 255 0 2.672 0.5 0.4901,0.4275 2447 4.15E-003 584.4 75.5 652.2 81.2 90.70 0.38 65.28
60 2017_08_17_17:48:53_669 255 0 2.671 0.6 0.4900,0.4280 2451 4.31E-003 584.3 75.6 652.5 81.1 90.33 0.38 61.49
61 2017_08_17_17:48:53_709 255 0 2.671 1.1 0.4904,0.4283 2448 4.38E-003 584.3 75.8 652.4 80.5 90.29 0.38 30.73
62 2017_08_17_17:48:53_749 255 0 2.672 1.4 0.4903,0.4281 2449 4.33E-003 584.4 75.7 652.1 81.1 90.58 0.38 24.22
63 2017_08_17_17:48:53_786 255 0 2.674 1.6 0.4902,0.4284 2451 4.42E-003 584.3 75.8 652.4 80.9 90.81 0.38 21.09
64 2017_08_17_17:48:53_824 255 0 2.672 1.4 0.4904,0.4278 2446 4.23E-003 584.4 75.6 651.7 81.3 90.38 0.38 25.05
65 2017_08_17_17:48:53_861 255 0 2.674 0.6 0.4904,0.4275 2444 4.14E-003 584.4 75.6 652.6 81.7 91.46 0.39 53.44
66 2017_08_17_17:48:53_899 255 0 2.674 0.6 0.4906,0.4275 2441 4.14E-003 584.4 75.6 652.4 81.5 90.70 0.38 57.49
67 2017_08_17_17:48:53_937 255 0 2.672 0.1 0.4900,0.4277 2449 4.21E-003 584.4 75.5 651.7 81.0 90.48 0.38 483.76
68 2017_08_17_17:48:53_974 255 0 2.674 0.4 0.4903,0.4275 2445 4.14E-003 584.4 75.5 649.5 81.0 90.96 0.39 77.31
69 2017_08_17_17:48:54_011 255 0 2.673 0.5 0.4908,0.4282 2443 4.33E-003 584.4 75.9 652.1 81.7 90.84 0.38 65.35
70 2017_08_17_17:48:54_049 255 0 2.670 0.6 0.4901,0.4284 2452 4.42E-003 584.3 75.7 651.8 80.8 89.33 0.37 60.83
71 2017_08_17_17:48:54_087 255 0 2.672 1.0 0.4904,0.4275 2443 4.13E-003 584.4 75.6 652.0 81.3 90.83 0.38 33.33
72 2017_08_17_17:48:54_126 255 0 2.673 1.6 0.4902,0.4281 2450 4.34E-003 584.3 75.7 652.1 81.0 90.87 0.39 21.25
73 2017_08_17_17:48:54_164 255 0 2.672 1.4 0.4906,0.4273 2439 4.05E-003 584.5 75.5 652.5 81.8 90.35 0.38 23.65
74 2017_08_17_17:48:54_202 255 0 2.673 0.7 0.4907,0.4278 2442 4.21E-003 584.4 75.7 649.6 81.6 91.54 0.39 50.36
75 2017_08_17_17:48:54_240 255 0 2.672 0.7 0.4901,0.4280 2449 4.29E-003 584.4 75.6 652.2 80.9 90.58 0.38 51.37
76 2017_08_17_17:48:54_278 255 0 2.674 0.4 0.4903,0.4277 2446 4.21E-003 584.4 75.6 652.2 81.1 90.59 0.38 96.79
77 2017_08_17_17:48:54_316 255 0 2.672 0.3 0.4905,0.4279 2445 4.25E-003 584.4 75.7 652.7 81.1 90.84 0.38 113.33
78 2017_08_17_17:48:54_354 255 0 2.673 0.5 0.4906,0.4273 2440 4.04E-003 584.5 75.5 649.1 81.4 90.56 0.39 63.92
79 2017_08_17_17:48:54_391 255 0 2.673 0.5 0.4900,0.4276 2448 4.17E-003 584.4 75.5 652.1 80.9 91.24 0.39 66.93
80 2017_08_17_17:48:54_429 255 0 2.675 0.5 0.4898,0.4277 2451 4.20E-003 584.4 75.4 649.8 81.0 90.66 0.38 62.76
81 2017_08_17_17:48:54_467 255 0 2.674 0.9 0.4909,0.4273 2437 4.06E-003 584.5 75.6 652.5 81.5 90.98 0.39 36.19
82 2017_08_17_17:48:54_506 255 0 2.671 1.6 0.4897,0.4279 2454 4.30E-003 584.3 75.5 652.1 81.2 90.35 0.39 21.54
83 2017_08_17_17:48:54_544 255 0 2.675 1.5 0.4899,0.4274 2448 4.12E-003 584.4 75.4 652.0 81.2 90.59 0.38 23.04
84 2017_08_17_17:48:54_582 255 0 2.673 0.7 0.4907,0.4276 2441 4.15E-003 584.4 75.7 649.6 81.2 90.84 0.39 49.98
85 2017_08_17_17:48:54_622 255 0 2.671 0.7 0.4901,0.4279 2450 4.27E-003 584.4 75.6 652.1 81.0 90.48 0.38 52.11
86 2017_08_17_17:48:54_659 255 0 2.675 0.6 0.4908,0.4269 2434 3.93E-003 584.5 75.5 652.5 81.4 91.30 0.39 55.05
87 2017_08_17_17:48:54_697 255 0 2.673 0.1 0.4900,0.4274 2448 4.12E-003 584.4 75.4 648.5 81.4 91.16 0.39 378.91
88 2017_08_17_17:48:54_735 255 0 2.671 0.5 0.4903,0.4279 2447 4.27E-003 584.4 75.7 648.1 81.2 90.61 0.38 75.38
89 2017_08_17_17:48:54_773 255 0 2.674 0.2 0.4906,0.4278 2443 4.21E-003 584.4 75.7 652.4 80.9 90.47 0.38 187.96
90 2017_08_17_17:48:54_810 255 0 2.671 0.5 0.4899,0.4277 2450 4.20E-003 584.4 75.5 648.4 81.0 90.78 0.38 65.36
91 2017_08_17_17:48:54_849 255 0 2.676 0.6 0.4901,0.4282 2452 4.38E-003 584.3 75.7 652.4 80.7 90.58 0.38 58.36
92 2017_08_17_17:48:54_888 255 0 2.671 0.9 0.4908,0.4276 2439 4.13E-003 584.5 75.7 649.6 81.5 90.93 0.39 39.13
93 2017_08_17_17:48:54_926 255 0 2.672 1.5 0.4901,0.4280 2449 4.29E-003 584.4 75.6 652.2 81.1 90.18 0.38 22.35
94 2017_08_17_17:48:54_964 255 0 2.674 1.6 0.4900,0.4278 2449 4.23E-003 584.4 75.5 652.2 81.6 90.37 0.38 20.99
95 2017_08_17_17:48:55_592 255 0 2.672 0.5 0.4908,0.4281 2443 4.29E-003 584.4 75.8 654.5 81.3 90.66 0.38 69.25
96 2017_08_17_17:48:56_285 255 0 2.671 1.4 0.4906,0.4282 2446 4.34E-003 584.4 75.8 649.0 80.9 90.01 0.38 23.40
97 2017_08_17_17:48:59_453 255 0 2.673 0.3 0.4896,0.4279 2455 4.29E-003 584.3 75.5 652.5 81.1 91.15 0.39 106.57
98 2017_08_17_17:49:01_052 255 0 2.673 0.5 0.4909,0.4281 2442 4.31E-003 584.4 75.9 651.2 81.0 90.97 0.39 72.41
